Unnamed: 0,property_type,sector,society,price,price_per_sqft,built_up_area,bedRoom,bathroom,balcony,floorNum,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
40,house,sector 82,vatika india next,7.0,21604.94,3900.0,4,4,3+,3.0,Relatively New,0,1,0,0,0,0,105,"28.3935° N, 76.9600° E",28.3935,76.96
41,flat,sector 49,orchid petals,2.38,11497.58,2061.0,3,4,3,1.0,Relatively New,1,0,0,0,0,1,49,"28.4121° N, 77.0480° E",28.4121,77.048
42,flat,sector 89,smart world gems,0.85,7706.26,1226.0,2,2,2,2.0,Under Construction,1,0,0,0,0,1,45,"28.4253° N, 76.9439° E",28.4253,76.9439
43,flat,sector 108,experion the heartsong,1.2,6825.94,1275.53,3,3,3+,10.0,Relatively New,1,0,0,0,0,1,93,"28.5134° N, 76.9830° E",28.5134,76.983
44,flat,sector 102,suncity avenue,0.47,8935.36,582.0,2,2,1,5.0,Relatively New,0,0,1,0,0,1,142,"28.4750° N, 76.9715° E",28.475,76.9715
45,flat,sector 89,smart world gems,0.95,8597.29,1226.0,2,2,2,4.0,New Property,1,1,0,0,0,1,38,"28.4253° N, 76.9439° E",28.4253,76.9439
46,house,sector 48,vipul tatvam villa,7.25,22376.54,3240.0,4,4,3,2.0,Relatively New,1,1,1,1,0,2,103,"28.4177° N, 77.0359° E",28.4177,77.0359
47,flat,sector 81,dlf the ultima,2.3,10994.26,1893.0,3,4,3+,6.0,New Property,0,1,0,0,0,0,167,"28.3867° N, 76.9485° E",28.3867,76.9485
48,house,sector 38,independent,3.9,21241.83,1836.0,6,6,3+,3.0,Moderately Old,1,1,0,1,0,1,32,"28.4347° N, 77.0430° E",28.4347,77.043
49,flat,sector 90,dlf regal gardens,1.75,7900.68,2005.0,4,4,3+,3.0,Relatively New,0,0,0,0,1,1,6,"28.4085° N, 76.9369° E",28.4085,76.9369
50,flat,sector 69,tulip violet,1.55,9822.56,1428.0,3,3,2,0.0,Relatively New,0,0,0,1,0,2,129,"28.3966° N, 77.0341° E",28.3966,77.0341
51,flat,sector 92,bestech park view sanskruti,1.5,7812.5,1738.0,3,3,3,3.0,Relatively New,0,0,0,0,1,1,49,"28.4079° N, 76.9153° E",28.4079,76.9153
52,flat,sector 103,chintamani,1.57,8509.49,1845.0,3,3,3,1.0,Relatively New,0,0,0,0,0,1,0,"28.4949° N, 76.9845° E",28.4949,76.9845
53,house,sector 25,dlf city plots phase 2,4.25,31481.48,1350.0,3,2,3,2.0,Old Property,1,0,0,0,0,1,35,"28.4844° N, 77.0860° E",28.4844,77.086
54,house,sector 50,independent,10.45,38703.7,4000.0,4,5,2,3.0,Moderately Old,1,1,0,1,0,2,142,"28.4178° N, 77.0628° E",28.4178,77.0628
55,house,sector 26,independent,19.0,42222.22,4500.0,6,8,3+,3.0,Moderately Old,1,1,1,1,0,2,103,"28.4757° N, 77.1032° E",28.4757,77.1032
56,house,sector 21,independent,0.45,8411.21,594.0,3,2,1,1.0,Old Property,0,0,0,0,0,1,0,"28.5134° N, 77.0723° E",28.5134,77.0723
57,flat,sector 77,umang winter hills,1.1,5296.1,1829.0,3,4,3+,9.0,Relatively New,0,1,0,0,0,1,49,"28.3801° N, 76.9845° E",28.3801,76.9845
58,flat,sector 61,pioneer park,2.04,14623.66,1595.0,3,3,3+,16.0,Moderately Old,0,1,0,0,0,2,165,"28.4050° N, 77.0963° E",28.405,77.0963
59,flat,sector 83,emaar palm gardens,1.8,9473.68,1719.0,3,3,3+,9.0,Relatively New,0,0,0,0,0,1,55,"28.3986° N, 76.9647° E",28.3986,76.9647
