Unnamed: 0,property_type,sector,society,price,price_per_sqft,built_up_area,bedRoom,bathroom,balcony,floorNum,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
904,flat,sector 50,the penthouses at the hibiscus,8.0,8887.9,10000.0,4,3,3,7.0,Moderately Old,0,1,0,0,0,1,35,"28.4178° N, 77.0628° E",28.4178,77.0628
905,house,sector 26,dlf city plots,17.0,37627.27,4518.0,5,6,3,2.0,Old Property,0,1,1,1,0,2,87,"28.4757° N, 77.1032° E",28.4757,77.1032
907,flat,sector 113,la vida by tata housing,1.75,10491.61,1424.0,2,2,3,10.0,Relatively New,1,0,0,0,0,1,93,"28.5287° N, 77.0233° E",28.5287,77.0233
908,flat,sector 90,shree vardhman flora,1.27,4951.27,2248.0,4,5,2,9.0,New Property,1,1,0,0,0,1,83,"28.4085° N, 76.9369° E",28.4085,76.9369
910,flat,sector 56,kiran residency,1.55,7750.0,1800.0,3,3,3+,5.0,Old Property,0,1,0,1,1,1,166,"28.4245° N, 77.0991° E",28.4245,77.0991
911,flat,sector 107,signature global solera,0.29,5930.47,543.0,2,2,2,3.0,Relatively New,0,0,0,0,0,1,45,"28.5052° N, 76.9729° E",28.5052,76.9729
912,flat,manesar,green campus chs,0.92,4022.74,1924.0,3,3,3+,8.0,Moderately Old,0,1,0,0,0,1,5,"28.3515° N, 76.9428° E",28.3515,76.9428
913,flat,sector 37c,corona optus,1.27,7203.63,1581.0,3,3,3,2.0,Relatively New,1,0,0,0,1,1,49,"28.4515° N, 76.9882° E",28.4515,76.9882
914,flat,sector 106,paras dews,1.34,9550.96,1535.0,4,5,3+,7.0,Relatively New,0,1,0,0,0,1,49,"28.5007° N, 77.0003° E",28.5007,77.0003
915,house,sector 25,independent,8.0,8000.0,11111.0,3,9,2,3.0,New Property,0,0,0,0,0,1,0,"28.4844° N, 77.0860° E",28.4844,77.086
916,flat,sector 82a,vatika sovereign next sector-82 a gurgaon,2.91,6700.44,3902.0,4,4,3,6.0,Under Construction,1,1,1,0,0,2,79,"28.3858° N, 76.9686° E",28.3858,76.9686
917,flat,sector 69,tulip violet,1.7,8445.11,1819.0,4,4,2,7.0,Relatively New,0,0,0,0,0,1,128,"28.3966° N, 77.0341° E",28.3966,77.0341
918,house,sector 56,independent,2.95,20233.2,1458.0,2,2,0,1.0,Moderately Old,0,0,0,0,0,1,0,"28.4245° N, 77.0991° E",28.4245,77.0991
920,flat,sector 108,sobha city,2.9,14478.28,2003.0,3,4,2,8.0,New Property,0,0,0,0,0,1,109,"28.5134° N, 76.9830° E",28.5134,76.983
921,flat,sector 69,tulip violet,1.52,9632.45,1428.0,3,3,2,4.0,Relatively New,0,0,0,1,0,2,156,"28.3966° N, 77.0341° E",28.3966,77.0341
922,house,sector 17,independent,3.5,24305.56,1440.0,2,6,3+,3.0,Old Property,0,0,0,0,0,1,0,"28.4791° N, 77.0608° E",28.4791,77.0608
923,house,sector 43,sushant lok 1 builder floors,1.65,3395.06,540.0,4,4,3+,4.0,Moderately Old,0,0,0,0,1,0,49,"28.4629° N, 77.0772° E",28.4629,77.0772
924,flat,sector 79,m3m golf hills phase 1,1.7,10828.03,1570.0,3,2,3,10.0,Relatively New,0,0,0,0,0,1,0,"28.3624° N, 76.9787° E",28.3624,76.9787
925,flat,sector 70,shree vardhman victoria,1.63,8358.97,1527.0,3,3,3,5.0,New Property,0,1,0,0,1,1,49,"28.3968° N, 77.0233° E",28.3968,77.0233
926,flat,sector 95,signature the roselia,0.41,6193.35,670.0,2,2,2,12.0,New Property,1,0,0,0,0,2,90,"28.4172° N, 76.9081° E",28.4172,76.9081
927,flat,sector 77,umang winter hills,1.0,7501.88,1489.0,2,2,2,3.0,New Property,0,0,0,0,0,1,74,"28.3801° N, 76.9845° E",28.3801,76.9845
928,flat,sector 69,tulip violet,1.4,8871.99,1428.0,3,3,2,11.0,Relatively New,0,0,0,1,0,1,126,"28.3966° N, 77.0341° E",28.3966,77.0341
929,flat,sector 83,emaar palm gardens,1.76,9263.16,1500.0,3,3,3,6.0,Relatively New,0,1,0,0,0,2,165,"28.3986° N, 76.9647° E",28.3986,76.9647
930,flat,sector 65,emaar mgf emerald floors premier,2.24,13575.76,1833.0,3,3,3,2.0,Relatively New,1,1,0,0,0,1,46,"28.4030° N, 77.0690° E",28.403,77.069
931,flat,sector 109,ats tourmaline,1.75,8139.53,1946.0,3,4,3+,2.0,Relatively New,0,1,0,0,1,1,65,"28.5073° N, 77.0089° E",28.5073,77.0089
932,flat,sector 92,sare crescent parc,0.92,4854.88,1895.0,4,5,3+,14.0,Moderately Old,0,0,0,0,0,2,131,"28.4079° N, 76.9153° E",28.4079,76.9153
933,house,sector 7,independent,2.43,14889.71,345.0,4,4,2,3.0,Old Property,1,0,1,1,0,1,38,"28.4644° N, 77.0143° E",28.4644,77.0143
934,flat,sector 83,emaar palm gardens,1.8,12000.0,1667.0,3,4,3+,6.0,Relatively New,0,1,0,0,0,2,96,"28.3986° N, 76.9647° E",28.3986,76.9647
935,flat,sector 81,bestech park view grand spa,2.25,8458.65,2300.0,3,4,3+,8.0,Relatively New,1,1,1,0,0,2,122,"28.3867° N, 76.9485° E",28.3867,76.9485
937,flat,sector 48,central park resorts,15.0,22388.06,7444.0,5,6,3+,17.0,Relatively New,1,1,0,1,0,0,45,"28.4177° N, 77.0359° E",28.4177,77.0359
938,flat,sector 62,pioneer araya,10.75,19499.37,4990.0,5,7,3,10.0,Relatively New,0,1,0,0,0,2,153,"28.4139° N, 77.0886° E",28.4139,77.0886
939,flat,sector 71,chd avenue,1.16,6655.19,1577.0,3,3,3,5.0,Moderately Old,0,1,0,0,0,2,73,"28.4104° N, 77.0281° E",28.4104,77.0281
940,house,sector 7,independent,1.55,13888.89,1080.0,2,2,2,1.0,Moderately Old,0,0,0,0,0,2,52,"28.4644° N, 77.0143° E",28.4644,77.0143
941,flat,sector 92,raheja navodaya,0.85,4271.36,1801.0,3,3,3,2.0,Relatively New,0,0,0,0,0,1,100,"28.4079° N, 76.9153° E",28.4079,76.9153
942,flat,sector 85,ss the leaf,1.2,7317.07,1484.0,2,2,3,12.0,Relatively New,0,0,0,0,0,2,157,"28.4042° N, 76.9513° E",28.4042,76.9513
943,flat,sector 104,ats triumph,2.78,8825.4,2851.0,4,4,3+,11.0,Relatively New,0,1,0,0,0,1,110,"28.4788° N, 76.9960° E",28.4788,76.996
944,flat,sector 102,conscient heritage max,1.9,9783.73,1757.0,3,4,3+,20.0,Relatively New,0,1,0,0,0,1,165,"28.4750° N, 76.9715° E",28.475,76.9715
945,flat,sector 71,chd avenue,1.1,6104.33,1631.0,3,4,3,3.0,Moderately Old,0,1,0,0,0,1,26,"28.4104° N, 77.0281° E",28.4104,77.0281
946,house,sector 37d,independent,1.16,7537.36,1535.0,1,1,0,1.0,Relatively New,0,0,0,0,0,1,0,"28.4478° N, 76.9703° E",28.4478,76.9703
947,house,sector 33,unitech uniworld resorts,11.75,23239.72,5056.0,5,7,3+,3.0,Relatively New,0,1,0,0,0,1,80,"28.4420° N, 77.0207° E",28.442,77.0207
948,flat,sector 89,smart world gems,0.9,8159.56,998.0,2,2,2,3.0,New Property,1,0,0,0,1,1,95,"28.4253° N, 76.9439° E",28.4253,76.9439
949,flat,sector 53,vipul belmonte,6.5,21922.43,2683.0,3,4,3+,0.0,Old Property,1,0,0,0,1,1,72,"28.4433° N, 77.0948° E",28.4433,77.0948
951,flat,sector 81,signature global synera,0.38,9500.0,444.0,1,1,2,3.0,Relatively New,0,0,0,0,0,1,43,"28.3867° N, 76.9485° E",28.3867,76.9485
952,flat,sector 2,bestech park view residency,1.18,7539.94,1416.0,2,2,3,5.0,Old Property,1,0,0,0,0,1,76,"28.5095° N, 77.0320° E",28.5095,77.032
953,flat,sector 36,signature global park 4,0.72,6428.57,1244.0,3,2,3,2.0,Under Construction,0,0,0,0,0,1,0,"28.4160° N, 76.9914° E",28.416,76.9914
954,flat,sector 62,emaar digihomes,2.45,16002.61,1200.0,2,2,2,7.0,New Property,1,0,0,0,0,0,174,"28.4139° N, 77.0886° E",28.4139,77.0886
955,house,sector 105,independent,1.15,3284.78,3889.0,3,2,1,1.0,Moderately Old,0,0,0,0,0,1,0,"28.4952° N, 77.0114° E",28.4952,77.0114
956,house,sector 3,bhim garh kheri,0.75,6410.26,1170.0,4,2,2,2.0,Old Property,0,0,0,0,0,1,16,"28.4909° N, 77.0176° E",28.4909,77.0176
958,flat,sector 12,bhagwati sadan,1.15,5750.0,2000.0,3,4,2,2.0,Old Property,1,1,0,0,1,2,28,"28.4723° N, 77.0320° E",28.4723,77.032
959,flat,sector 108,raheja vedaanta,1.5,5263.16,2850.0,3,4,0,12.0,Relatively New,0,0,0,0,0,1,0,"28.5134° N, 76.9830° E",28.5134,76.983
960,flat,sector 79,bestech altura,1.85,8604.65,1650.0,3,3,3,7.0,New Property,0,1,0,0,0,1,53,"28.3624° N, 76.9787° E",28.3624,76.9787
961,flat,sector 37d,ramprastha skyz,1.1,6376.81,1561.0,3,3,3+,7.0,Under Construction,0,0,0,0,0,1,109,"28.4478° N, 76.9703° E",28.4478,76.9703
962,flat,manesar,imt view society,0.95,3652.44,2232.0,3,4,3,6.0,Moderately Old,0,1,0,0,0,1,81,"28.3515° N, 76.9428° E",28.3515,76.9428
963,house,sector 82a,vatika sovereign next,3.85,7500.49,5140.0,5,6,3+,6.0,Relatively New,0,0,0,0,0,1,53,"28.3858° N, 76.9686° E",28.3858,76.9686
964,flat,sector 89,smart world gems,0.97,8794.2,1103.0,2,2,3+,2.0,New Property,0,0,0,0,0,1,49,"28.4253° N, 76.9439° E",28.4253,76.9439
965,flat,sector 91,tarc maceo,0.87,6641.22,1148.0,2,2,2,9.0,Relatively New,0,0,1,0,0,1,78,"28.4014° N, 76.9225° E",28.4014,76.9225
966,house,sector 25,nul,6.25,34722.22,1800.0,5,5,3,2.0,Moderately Old,0,1,0,1,0,2,112,"28.4844° N, 77.0860° E",28.4844,77.086
967,flat,sector 86,microtek greenburg,1.45,9797.3,1480.0,3,2,3,8.0,Relatively New,0,0,0,0,0,0,72,"28.3986° N, 76.9384° E",28.3986,76.9384
969,flat,sector 109,sbtl caladium,1.68,6601.18,2303.0,3,3,3+,7.0,Moderately Old,0,1,0,0,0,1,134,"28.5073° N, 77.0089° E",28.5073,77.0089
970,house,sector 82,vatika signature villas,3.2,14349.78,2160.0,3,4,3,1.0,New Property,1,1,1,1,0,1,66,"28.3935° N, 76.9600° E",28.3935,76.96
971,flat,sector 49,vatika city,1.85,10577.47,1471.12,3,3,1,7.0,Moderately Old,0,0,1,1,0,1,158,"28.4121° N, 77.0480° E",28.4121,77.048
972,flat,sector 107,m3m woodshire,1.4,5929.69,2137.0,3,4,3+,6.0,Relatively New,0,1,0,0,0,1,117,"28.5052° N, 76.9729° E",28.5052,76.9729
973,house,sector 47,independent,5.15,26614.99,1935.0,3,9,3+,3.0,Relatively New,0,0,1,0,0,2,75,"28.4276° N, 77.0492° E",28.4276,77.0492
974,flat,sector 79,godrej aria,1.1,11482.25,81.0,2,2,3,9.0,New Property,0,0,0,0,0,1,62,"28.3624° N, 76.9787° E",28.3624,76.9787
975,flat,sector 5,om apartment dayanand colony,0.26,4369.75,648.0,1,1,1,3.0,Relatively New,0,0,0,0,0,1,14,"28.4794° N, 77.0176° E",28.4794,77.0176
976,flat,sector 79,mapsko mount ville,1.25,8389.26,1656.0,3,3,3+,16.0,Relatively New,0,0,0,0,0,2,49,"28.3624° N, 76.9787° E",28.3624,76.9787
977,house,sector 4,naman residency,0.5,11111.11,450.0,2,2,2,2.0,New Property,1,1,0,1,1,1,14,"28.4738° N, 77.0107° E",28.4738,77.0107
978,house,sector 25,independent,16.0,26666.67,6000.0,6,5,2,3.0,Relatively New,0,0,0,0,0,1,0,"28.4844° N, 77.0860° E",28.4844,77.086
979,flat,sector 83,vatika gurgaon,0.95,6574.39,1300.0,2,2,3,5.0,Relatively New,0,0,0,0,0,2,96,"28.3986° N, 76.9647° E",28.3986,76.9647
980,house,sector 7,independent,2.0,13888.89,1440.0,2,2,2,2.0,Old Property,0,0,0,0,0,1,22,"28.4644° N, 77.0143° E",28.4644,77.0143
981,flat,sector 6,ss residency,0.48,5333.33,111.0,3,2,2,2.0,Moderately Old,0,0,0,0,0,1,54,"28.4745° N, 77.0262° E",28.4745,77.0262
982,house,sector 43,sushant lok 1 builder floors,1.95,10077.52,1935.0,3,4,3+,4.0,New Property,0,1,0,0,0,2,78,"28.4629° N, 77.0772° E",28.4629,77.0772
983,flat,sector 110,mahindra aura,2.25,9266.89,2350.0,4,4,3+,2.0,Relatively New,0,1,0,0,0,1,152,"28.5145° N, 77.0197° E",28.5145,77.0197
984,flat,sector 79,bestech altura,1.85,8604.65,1946.0,3,4,3+,11.0,New Property,0,1,0,0,0,1,49,"28.3624° N, 76.9787° E",28.3624,76.9787
985,flat,sector 113,m3m capital,3.25,14142.73,2553.0,4,4,3+,34.0,Under Construction,1,1,0,1,0,1,115,"28.5287° N, 77.0233° E",28.5287,77.0233
986,flat,sector 85,orris carnation residency,0.9,6428.57,1402.0,3,3,2,12.0,Relatively New,0,0,0,0,0,1,120,"28.4042° N, 76.9513° E",28.4042,76.9513
987,flat,sector 89,m3m soulitude,1.0,9066.18,1226.0,2,2,2,2.0,New Property,1,0,0,0,0,1,49,"28.4253° N, 76.9439° E",28.4253,76.9439
988,house,sector 2,independent,2.55,16377.65,1557.0,3,3,2,2.0,Old Property,0,0,0,0,0,1,8,"28.5095° N, 77.0320° E",28.5095,77.032
989,house,sector 83,vatika india next,1.7,7870.37,2160.0,3,3,3+,4.0,New Property,0,1,0,1,0,1,0,"28.3986° N, 76.9647° E",28.3986,76.9647
990,house,sector 104,shri shyam residency,0.62,12400.0,900.0,3,3,1,2.0,Moderately Old,0,0,0,0,1,0,8,"28.4788° N, 76.9960° E",28.4788,76.996
991,flat,sector 102,emaar gurgaon greens,1.4,8484.85,1300.0,3,3,3,10.0,Relatively New,0,1,0,0,0,1,46,"28.4750° N, 76.9715° E",28.475,76.9715
992,house,sector 50,unitech aspen greens,6.8,31481.48,2160.0,4,5,3,3.0,Old Property,1,1,0,0,0,2,111,"28.4178° N, 77.0628° E",28.4178,77.0628
993,flat,sector 89,smart world gems,1.1,9972.8,1226.0,2,2,2,3.0,New Property,0,0,1,0,0,1,77,"28.4253° N, 76.9439° E",28.4253,76.9439
994,flat,sector 33,central park flower valley,1.4,21538.46,588.0,3,3,3,2.0,Under Construction,0,0,0,0,0,1,54,"28.4420° N, 77.0207° E",28.442,77.0207
995,flat,sector 102,adani oyster greens,1.9,10058.23,2099.0,3,3,3+,9.0,Relatively New,1,0,1,1,0,1,0,"28.4750° N, 76.9715° E",28.475,76.9715
996,flat,sector 77,emaar palm heights,2.1,10370.37,1833.0,3,3,3,17.0,New Property,1,1,0,0,0,1,8,"28.3801° N, 76.9845° E",28.3801,76.9845
997,flat,sector 30,afnhb jalvayu vihar,0.85,12859.3,734.0,2,2,1,2.0,Old Property,0,0,0,0,1,2,49,"28.4604° N, 77.0579° E",28.4604,77.0579
998,house,sector 49,ss aaron ville,6.75,15000.0,4500.0,5,4,2,2.0,New Property,0,0,0,0,1,1,49,"28.4121° N, 77.0480° E",28.4121,77.048
999,flat,sector 109,ats kocoon,1.7,12878.79,1550.0,3,3,3,22.0,Relatively New,0,0,0,0,0,1,103,"28.5073° N, 77.0089° E",28.5073,77.0089
1000,flat,sector 82a,dlf the primus,2.2,10516.25,1893.0,3,3,3+,16.0,Relatively New,0,1,0,0,0,0,174,"28.3858° N, 76.9686° E",28.3858,76.9686
1001,house,sector 91,independent,3.6,14814.81,2430.0,4,4,3,2.0,New Property,0,0,0,0,0,2,49,"28.4014° N, 76.9225° E",28.4014,76.9225
1002,flat,sector 102,bptp amstoria,1.9,8444.44,2500.0,3,3,3+,1.0,Relatively New,0,1,0,0,0,1,174,"28.4750° N, 76.9715° E",28.475,76.9715
1003,flat,sector 82,mapsko royale ville,1.12,6256.98,1588.0,3,3,2,12.0,Relatively New,0,0,0,1,0,1,49,"28.3935° N, 76.9600° E",28.3935,76.96
1004,flat,sector 92,bestech park view sanskruti,1.55,9687.5,1792.0,3,3,3,17.0,Relatively New,0,1,0,0,0,2,60,"28.4079° N, 76.9153° E",28.4079,76.9153
1006,flat,sector 79,godrej aria,1.1,7773.85,1223.0,2,2,3+,4.0,New Property,0,0,0,0,0,2,49,"28.3624° N, 76.9787° E",28.3624,76.9787
1007,flat,sector 12,ss residency,0.53,4818.18,995.0,3,3,2,2.0,Relatively New,0,0,0,0,0,2,14,"28.4723° N, 77.0320° E",28.4723,77.032
1008,flat,sector 85,ss the leaf,1.1,6318.21,1464.0,2,2,3+,3.0,Relatively New,0,0,1,0,0,1,143,"28.4042° N, 76.9513° E",28.4042,76.9513
1009,flat,sector 7,project krishna colony,0.36,5142.86,700.0,2,2,1,0.0,Relatively New,0,0,0,0,0,1,0,"28.4644° N, 77.0143° E",28.4644,77.0143
1010,flat,sector 63a,signature global city 63a,1.65,15263.64,978.0,2,2,2,1.0,Under Construction,0,0,0,0,0,1,0,"28.3923° N, 77.0888° E",28.3923,77.0888
1011,flat,sector 81,dlf the ultima,2.5,11726.08,1700.0,3,3,2,20.0,Relatively New,0,1,0,0,0,0,174,"28.3867° N, 76.9485° E",28.3867,76.9485
1012,house,sector 12,anamika enclave,6.0,14492.75,9000.0,9,9,3+,3.0,Old Property,0,0,0,0,0,1,9,"28.4723° N, 77.0320° E",28.4723,77.032
1013,house,sector 4,independent,0.4,8888.89,450.0,1,1,0,1.0,Moderately Old,0,0,0,0,0,1,0,"28.4738° N, 77.0107° E",28.4738,77.0107
1014,flat,sector 92,sare green parc phase 3,0.79,6086.29,1175.0,3,2,2,15.0,New Property,0,0,0,0,0,1,29,"28.4079° N, 76.9153° E",28.4079,76.9153
1015,flat,sector 95,rof ananda,0.26,6032.48,406.0,1,1,1,8.0,New Property,0,0,0,0,0,1,49,"28.4172° N, 76.9081° E",28.4172,76.9081
1016,flat,sector 70,unitech vistas,0.99,6325.88,1416.0,3,4,2,11.0,Under Construction,0,0,0,0,0,1,0,"28.3968° N, 77.0233° E",28.3968,77.0233
1017,flat,sector 22,ambience creacions,3.5,19444.44,2000.0,3,4,3+,8.0,New Property,0,1,0,0,0,2,57,"28.5072° N, 77.0640° E",28.5072,77.064
1018,flat,sector 105,uphaar residency 2,0.42,5600.0,833.0,3,2,1,0.0,Moderately Old,0,0,0,0,1,1,7,"28.4952° N, 77.0114° E",28.4952,77.0114
1019,flat,sector 85,ss,2.17,7716.93,2600.0,4,4,3,7.0,Relatively New,1,1,0,1,0,1,49,"28.4042° N, 76.9513° E",28.4042,76.9513
1020,flat,sector 83,emaar palm gardens,1.35,12328.77,1387.0,3,3,3,7.0,Relatively New,0,1,0,0,0,1,24,"28.3986° N, 76.9647° E",28.3986,76.9647
1021,house,sector 3,independent,3.5,9210.53,3800.0,1,1,0,1.0,Moderately Old,0,0,0,0,0,1,0,"28.4909° N, 77.0176° E",28.4909,77.0176
1022,house,sector 39,independent,15.0,33333.33,4500.0,5,5,3+,4.0,Moderately Old,0,1,0,0,0,2,27,"28.4434° N, 77.0515° E",28.4434,77.0515
1023,flat,sector 76,suncity avenue 76,0.75,10204.08,665.0,2,2,2,11.0,Under Construction,0,0,0,0,0,1,57,"28.3935° N, 76.9888° E",28.3935,76.9888
1024,flat,sector 69,tulip violet,1.36,8842.65,1392.0,3,3,1,12.0,Relatively New,0,0,0,1,0,1,86,"28.3966° N, 77.0341° E",28.3966,77.0341
1025,flat,sector 37c,ild grand,0.66,5038.17,1310.0,2,2,3+,14.0,Relatively New,0,0,0,0,0,1,60,"28.4515° N, 76.9882° E",28.4515,76.9882
1026,flat,sector 85,ss the leaf,1.05,6402.44,1484.0,2,2,3,6.0,Relatively New,0,0,0,0,1,1,49,"28.4042° N, 76.9513° E",28.4042,76.9513
1027,flat,sector 24,ambience lagoon,5.8,12500.0,3700.0,3,4,3+,9.0,Old Property,1,1,0,1,1,0,68,"28.4939° N, 77.1038° E",28.4939,77.1038
1028,flat,sector 79,supertech araville,0.8,6177.61,1172.0,2,2,3+,9.0,New Property,0,0,0,0,1,1,24,"28.3624° N, 76.9787° E",28.3624,76.9787
1029,flat,sector 102,conscient heritage max,2.15,10004.65,1945.0,3,4,3+,18.0,Relatively New,1,1,0,0,0,2,134,"28.4750° N, 76.9715° E",28.475,76.9715
1030,flat,sector 107,m3m woodshire,0.82,6002.93,1236.0,2,2,3+,7.0,Relatively New,0,0,0,0,0,1,111,"28.5052° N, 76.9729° E",28.5052,76.9729
1031,flat,sector 110,ompee k s residency,1.6,2992.89,73.0,2,2,2,1.0,Relatively New,0,0,0,0,0,1,0,"28.5145° N, 77.0197° E",28.5145,77.0197
1032,house,sector 57,satya the legend,9.25,16577.06,5580.0,5,5,3+,4.0,Relatively New,1,1,1,1,0,2,160,"28.4232° N, 77.0752° E",28.4232,77.0752
1033,flat,sector 68,m3m sierra 68,1.13,9076.31,1130.0,2,2,3,9.0,Relatively New,0,0,0,0,0,2,149,"28.3853° N, 77.0484° E",28.3853,77.0484
1034,house,sector 50,unitech espace,7.5,34722.22,2160.0,3,3,2,2.0,Moderately Old,0,1,0,0,0,2,66,"28.4178° N, 77.0628° E",28.4178,77.0628
1035,flat,sector 104,ats triumph,1.83,7991.27,2000.0,3,4,3+,10.0,Relatively New,0,1,0,0,0,1,165,"28.4788° N, 76.9960° E",28.4788,76.996
1036,flat,sector 95,ramsons kshitij,0.29,5178.57,507.0,2,2,2,14.0,Relatively New,0,0,0,0,0,1,50,"28.4172° N, 76.9081° E",28.4172,76.9081
1037,flat,sector 66,emaar mgf the palm drive,3.0,14285.71,2100.0,4,5,3+,10.0,Relatively New,0,1,0,0,0,2,49,"28.3925° N, 77.0541° E",28.3925,77.0541
1038,flat,manesar,dlf express greens,1.5,6358.63,2135.0,4,5,3+,10.0,New Property,0,1,0,0,0,1,32,"28.3515° N, 76.9428° E",28.3515,76.9428
1039,flat,sector 71,chd avenue,1.32,6019.15,1985.0,4,4,3,14.0,Moderately Old,0,1,0,0,0,1,65,"28.4104° N, 77.0281° E",28.4104,77.0281
1040,flat,sector 65,m3m golfestate,5.9,17543.86,3043.0,3,3,3,9.0,Moderately Old,1,0,0,0,0,0,21,"28.4030° N, 77.0690° E",28.403,77.069
1042,house,sector 33,unitech uniworld resorts,11.5,24572.65,4680.0,5,6,3+,4.0,Relatively New,0,1,0,0,0,1,84,"28.4420° N, 77.0207° E",28.442,77.0207
1044,house,sector 23,independent,1.2,6230.53,1500.0,3,2,2,3.0,New Property,0,0,0,0,0,2,79,"28.5121° N, 77.0478° E",28.5121,77.0478
1045,flat,sector 99,assotech blith,0.92,6739.93,1235.0,2,2,3+,22.0,Under Construction,0,0,0,0,0,1,56,"28.4640° N, 76.9614° E",28.464,76.9614
1046,house,sector 6,surendra homes dayaindependentd colony,0.75,15625.0,480.0,4,4,2,1.0,Moderately Old,0,0,0,0,0,1,0,"28.4745° N, 77.0262° E",28.4745,77.0262
1047,flat,sector 70,shree vardhman victoria,1.6,8205.13,2167.0,3,5,3,6.0,Relatively New,0,1,0,0,0,1,174,"28.3968° N, 77.0233° E",28.3968,77.0233
1049,flat,sector 103,ansal housing highland park,1.1,6242.91,1500.0,3,3,3+,7.0,New Property,0,0,0,0,0,1,87,"28.4949° N, 76.9845° E",28.4949,76.9845
1050,flat,sector 14,essel towers,2.2,12500.0,1956.0,3,4,3+,3.0,Old Property,0,0,0,0,0,1,0,"28.4711° N, 77.0454° E",28.4711,77.0454
1051,house,sector 2,palam vihar extension west zone rwa,0.4,4444.44,900.0,3,4,2,2.0,Moderately Old,0,0,0,0,0,1,36,"28.5095° N, 77.0320° E",28.5095,77.032
1053,flat,sector 109,ats kocoon,1.65,10645.16,1650.0,3,3,3,19.0,Relatively New,0,0,1,0,0,2,159,"28.5073° N, 77.0089° E",28.5073,77.0089
1054,flat,sector 63,dlf the arbour,8.5,21518.99,3950.0,4,4,0,27.0,New Property,0,0,0,0,0,1,61,"28.3971° N, 77.0867° E",28.3971,77.0867
1055,flat,sector 61,smart world orchard,1.6,13913.04,1278.0,2,2,2,4.0,Under Construction,0,0,0,0,0,1,16,"28.4050° N, 77.0963° E",28.405,77.0963
1056,flat,sector 90,dlf new town heights,1.51,6387.48,2362.0,4,4,3+,6.0,Relatively New,0,1,0,1,0,2,142,"28.4085° N, 76.9369° E",28.4085,76.9369
1057,flat,sector 90,dlf regal gardens,1.25,8116.88,1640.0,3,3,3,8.0,Relatively New,0,0,0,1,0,1,158,"28.4085° N, 76.9369° E",28.4085,76.9369
1058,flat,sector 102,emaar gurgaon greens,1.4,8484.85,1493.0,3,3,3,4.0,Relatively New,0,1,0,0,0,2,83,"28.4750° N, 76.9715° E",28.475,76.9715
1059,flat,sector 63a,birla navya,3.3,15348.84,2150.0,3,3,3,4.0,Under Construction,0,1,0,0,0,1,52,"28.3923° N, 77.0888° E",28.3923,77.0888
1060,flat,sector 86,dlf new town heights,1.26,6113.54,1747.0,3,3,3,5.0,Moderately Old,0,1,0,0,1,1,113,"28.3986° N, 76.9384° E",28.3986,76.9384
1061,flat,sector 83,emaar palm gardens,3.15,8400.0,3200.0,5,7,3+,15.0,Relatively New,0,1,0,0,0,2,165,"28.3986° N, 76.9647° E",28.3986,76.9647
1062,flat,sector 33,godrej nature plus,1.31,15975.61,85.0,2,2,2,4.0,Under Construction,0,0,0,0,0,1,92,"28.4420° N, 77.0207° E",28.442,77.0207
1064,house,sector 26,dlf city phase 1,3.25,3681.05,8829.0,3,3,3,2.0,Old Property,1,0,0,0,0,1,79,"28.4757° N, 77.1032° E",28.4757,77.1032
1065,house,sector 103,satya the hermitage,4.35,13500.93,3222.0,4,4,3+,2.0,Relatively New,1,1,1,1,0,1,138,"28.4949° N, 76.9845° E",28.4949,76.9845
1066,flat,sector 110,indiabulls enigma,3.45,10147.06,3077.0,4,4,3,9.0,Moderately Old,0,1,0,0,0,2,125,"28.5145° N, 77.0197° E",28.5145,77.0197
1067,flat,sector 66,emaar mgf the palm drive,3.5,15909.09,2125.0,3,3,3,7.0,Moderately Old,0,1,1,0,0,2,149,"28.3925° N, 77.0541° E",28.3925,77.0541
1068,flat,sector 66,emaar mgf the palm drive,3.4,15454.55,2200.0,3,4,3,9.0,Relatively New,0,1,1,0,0,2,96,"28.3925° N, 77.0541° E",28.3925,77.0541
1069,house,sector 50,independent,7.0,23333.33,3400.0,4,4,2,3.0,Old Property,0,1,0,0,0,1,118,"28.4178° N, 77.0628° E",28.4178,77.0628
1070,flat,sector 65,m3m skycity,1.8,13698.63,1456.0,2,2,3,13.0,New Property,0,0,0,0,0,1,73,"28.4030° N, 77.0690° E",28.403,77.069
1071,flat,sector 84,antriksh heights,0.92,5041.1,1652.0,3,3,3,2.0,Relatively New,1,0,0,1,0,1,67,"28.3979° N, 76.9736° E",28.3979,76.9736
1072,flat,sector 66,ireo uptown,1.32,11438.47,1048.0,2,2,2,6.0,Relatively New,0,0,0,0,0,1,45,"28.3925° N, 77.0541° E",28.3925,77.0541
1073,flat,sector 37d,bptp terra,1.78,8124.14,1983.0,4,3,3,10.0,Relatively New,0,1,0,0,0,1,127,"28.4478° N, 76.9703° E",28.4478,76.9703
1074,flat,sector 67,ireo victory valley,3.05,12650.35,2029.0,3,3,3+,21.0,Relatively New,0,1,0,0,0,2,157,"28.3859° N, 77.0608° E",28.3859,77.0608
1075,flat,sector 81,dlf the ultima,2.28,10841.65,1750.0,3,3,3+,14.0,Relatively New,0,1,0,0,0,0,49,"28.3867° N, 76.9485° E",28.3867,76.9485
