property_type,sector,price,built_up_area,bedRoom,bathroom,balcony,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_category,floor_category
flat,sector 86,1.23,1339.0,2,2,3,Relatively New,1,0,0,0,0,1,Low,High Floor
house,sector 28,9.54,3240.0,6,5,3+,New Property,1,1,1,1,0,1,High,Mid Floor
flat,sector 37d,0.6,625.0,2,2,3,New Property,0,0,0,0,0,1,Low,Mid Floor
flat,sector 90,0.65,1222.0,2,2,3,Relatively New,1,0,0,0,0,1,High,Mid Floor
house,sector 4,0.92,603.0,1,4,3,Moderately Old,0,0,0,0,1,1,Low,Mid Floor
flat,sector 107,0.36,598.0,2,2,1,Relatively New,0,0,0,0,1,1,Low,Mid Floor
flat,sector 86,0.42,557.0,2,2,1,New Property,1,1,0,1,1,1,Medium,Low Floor
house,sector 73,17.0,9000.0,5,8,3,Relatively New,1,1,1,1,0,0,Medium,Mid Floor
flat,sector 55,1.9,2000.0,4,3,3+,Moderately Old,0,0,0,1,0,0,Low,Mid Floor
flat,sector 65,2.55,1650.0,3,3,3,Relatively New,1,1,0,0,0,1,Low,Mid Floor
flat,sector 82,0.94,1299.0,2,2,3+,Relatively New,1,0,0,0,0,2,Medium,Mid Floor
flat,sector 70a,1.2,1450.0,3,3,3+,Relatively New,0,0,0,0,0,0,Low,Low Floor
flat,sector 81,0.49,700.0,2,2,3,Relatively New,0,0,0,0,0,1,Medium,Mid Floor
flat,sector 102,0.95,915.0,2,2,2,Relatively New,0,0,0,0,0,1,Low,High Floor
flat,sector 102,1.49,1315.0,3,3,3,Relatively New,0,0,0,0,0,2,High,Mid Floor
flat,sector 82a,2.25,2333.0,3,3,3+,Relatively New,0,1,0,0,0,0,Medium,High Floor
flat,sector 95,0.82,1095.0,2,2,3+,New Property,1,0,0,0,0,1,Medium,High Floor
flat,sector 108,2.08,2631.0,4,4,3+,Relatively New,0,1,0,0,0,1,Medium,Mid Floor
flat,sector 92,0.78,846.0,2,2,3,Under Construction,0,0,0,0,1,1,Low,Low Floor
flat,sector 107,0.25,318.0,1,1,0,Relatively New,0,0,0,0,0,1,Medium,
flat,sector 112,3.75,2225.56,3,3,2,Relatively New,0,1,0,0,0,2,High,High Floor
flat,sector 104,0.85,1269.0,2,2,3+,Relatively New,1,0,0,0,0,1,Medium,Mid Floor
flat,sector 51,3.55,5200.0,5,6,3+,Moderately Old,1,1,1,1,0,2,High,High Floor
flat,sector 76,3.5,2937.0,3,4,3,Under Construction,0,0,0,0,0,1,Low,Mid Floor
flat,sector 70a,1.82,1600.0,3,3,3,Relatively New,0,0,0,0,0,1,Medium,High Floor
house,sector 53,4.0,2250.0,5,5,2,Relatively New,1,0,0,0,0,1,Low,Mid Floor
flat,sector 77,0.99,1126.0,2,2,2,Relatively New,0,0,0,0,0,1,Medium,Low Floor
house,sector 9,3.2,2367.0,3,3,2,Old Property,0,0,0,0,0,2,Low,Low Floor
house,sector 7,1.75,1575.0,4,2,2,Old Property,0,0,0,0,1,1,Low,Low Floor
house,sector 26,4.5,1350.0,3,3,2,Moderately Old,1,1,0,0,0,1,Medium,Low Floor
flat,sector 37d,0.8,1300.0,2,2,3,Relatively New,0,0,0,0,0,1,Medium,Low Floor
flat,sector 67a,1.8,1551.0,3,3,2,New Property,1,0,1,0,0,2,High,Mid Floor
flat,sector 102,1.35,1230.0,2,2,2,Relatively New,0,0,0,0,0,1,Medium,Mid Floor
flat,sector 2,1.55,1738.0,3,4,3+,Moderately Old,0,1,0,0,0,1,Medium,Mid Floor
flat,sector 65,2.8,1828.0,3,3,0,Relatively New,0,0,0,0,0,1,Low,High Floor
flat,sector 85,1.14,1484.0,2,2,3,Relatively New,0,0,0,0,0,1,Medium,Mid Floor
house,sector 92,0.75,959.0,2,2,3,Relatively New,0,0,0,0,0,1,Low,Low Floor
flat,sector 91,1.4,1700.0,3,3,3+,Relatively New,0,0,0,0,0,1,Medium,Mid Floor
flat,sohna road,0.4,615.0,2,2,1,New Property,0,0,0,0,0,1,Low,Mid Floor
flat,sector 82a,1.59,1668.0,3,3,3+,Relatively New,0,0,0,0,1,0,High,Mid Floor
flat,sector 85,0.88,1344.0,3,3,1,Relatively New,0,0,0,0,0,1,Medium,Low Floor
flat,sohna road,0.25,535.0,2,2,1,Relatively New,0,0,0,1,0,1,Medium,
flat,sector 70a,1.64,1950.0,3,3,3+,New Property,0,1,0,0,0,1,Medium,Mid Floor
flat,sector 36a,2.3,1479.0,2,2,2,Relatively New,0,0,0,0,0,1,Medium,High Floor
flat,sector 56,1.35,1450.0,3,3,3+,Old Property,0,0,0,0,1,2,High,Mid Floor
flat,sector 59,3.78,2550.0,3,3,3,Under Construction,0,0,0,0,0,1,Low,Mid Floor
house,sector 48,8.5,4000.0,4,5,3+,Moderately Old,1,1,0,1,1,2,Low,Low Floor
flat,sector 51,2.1,2300.0,4,4,3,Relatively New,0,0,0,0,0,1,Medium,Low Floor
flat,sector 82a,3.5,2896.0,5,5,3+,Relatively New,1,0,0,0,0,0,Low,High Floor
flat,sector 65,2.5,1654.0,3,3,3,Under Construction,0,0,0,0,0,1,Low,High Floor
flat,sector 54,4.86,1875.0,3,4,3+,Relatively New,0,1,0,0,0,2,Low,Mid Floor
flat,sector 90,1.3,1929.0,3,3,3+,Relatively New,0,1,0,1,0,2,Medium,Mid Floor
flat,sector 85,1.8,141.0,3,3,3,Under Construction,0,0,0,0,0,1,Low,High Floor
flat,sector 68,1.32,1364.0,2,2,3,Relatively New,1,0,0,0,0,1,Medium,High Floor
flat,sector 90,0.65,1222.0,2,2,3,Moderately Old,1,0,0,0,0,2,Medium,Mid Floor
flat,sector 70a,1.34,1180.0,2,2,3+,New Property,0,0,0,0,0,2,Medium,High Floor
flat,sector 83,1.05,1600.0,3,2,2,Moderately Old,0,0,0,0,0,2,Medium,Low Floor
flat,sector 65,2.9,2194.0,4,4,0,Relatively New,0,0,1,0,0,1,Medium,
flat,sector 69,1.19,1500.0,2,3,1,Relatively New,1,0,0,0,0,1,High,
house,sector 31,3.5,1449.0,4,3,3,Moderately Old,0,0,1,0,0,2,Medium,Low Floor
flat,sector 113,2.7,2217.0,3,4,3+,Relatively New,0,1,0,0,0,2,Low,Mid Floor
house,sector 109,9.4,3600.0,5,6,3+,Relatively New,1,1,1,1,0,2,Medium,Low Floor
flat,sector 37c,0.9,1537.0,3,3,3,Moderately Old,0,0,0,0,0,2,Medium,Mid Floor
flat,sohna road,0.78,1222.0,2,2,3,Under Construction,1,0,0,0,0,1,Medium,Mid Floor
flat,sector 107,1.3,1547.0,3,3,3,Relatively New,0,0,0,1,0,1,Medium,Mid Floor
house,sector 4,0.65,585.0,4,2,2,Moderately Old,0,0,0,0,0,1,Low,Low Floor
flat,sector 107,0.8,1204.0,2,2,3+,Relatively New,0,0,0,1,0,2,High,Mid Floor
flat,sector 92,0.99,1091.0,3,2,3,Under Construction,0,0,0,0,0,1,Low,Low Floor
flat,sohna road,0.4,762.0,2,2,2,Relatively New,0,0,0,0,0,1,Medium,Mid Floor
house,sector 26,31.5,9000.0,7,9,3+,Moderately Old,1,1,1,1,0,0,Medium,Mid Floor
flat,sector 107,0.49,598.0,2,2,1,Relatively New,0,0,0,0,1,0,Low,Mid Floor
flat,sector 109,2.95,2851.0,4,5,3+,Relatively New,0,1,0,0,0,1,Medium,Mid Floor
flat,sector 86,0.74,1231.0,2,2,1,Under Construction,0,0,0,0,1,1,Low,High Floor
house,sector 49,4.45,2880.0,6,6,3,Moderately Old,1,1,1,1,0,0,High,Mid Floor
flat,sector 104,1.32,1403.0,2,2,2,Relatively New,0,0,0,0,0,1,Medium,Mid Floor
flat,sector 69,0.74,1210.0,3,3,1,Under Construction,0,1,0,0,0,1,Medium,Mid Floor
house,sector 25,4.5,1350.0,5,3,2,Old Property,0,0,1,1,0,1,Low,Mid Floor
house,sector 109,6.2,2430.0,5,5,2,Relatively New,0,1,0,0,0,1,Medium,Low Floor
flat,sector 108,1.25,1500.0,3,3,3,Relatively New,0,1,0,1,0,1,High,Low Floor
flat,sector 33,1.55,1444.0,3,3,3+,New Property,0,0,0,0,0,2,Low,Mid Floor
flat,sector 58,2.2,1528.0,2,2,1,Relatively New,0,0,0,1,0,2,Low,Mid Floor
house,sector 11,4.0,2025.0,5,4,1,Moderately Old,0,0,0,0,0,1,Low,Low Floor
flat,sector 28,1.0,995.0,1,1,1,Old Property,1,0,0,1,0,2,Medium,Low Floor
flat,sector 37c,1.4,1890.0,3,3,3+,Relatively New,0,1,0,0,0,1,Medium,Mid Floor
flat,sector 103,0.93,1613.0,2,3,3,Relatively New,0,1,0,0,0,2,Medium,Mid Floor
flat,sector 85,1.17,1550.0,2,3,3,Relatively New,0,0,0,0,1,1,Low,Mid Floor
flat,sector 109,1.7,965.0,1,1,2,Relatively New,0,0,0,0,0,1,Low,Mid Floor
flat,sector 22,1.65,1200.0,2,2,2,Relatively New,0,0,0,1,1,0,Medium,Mid Floor
house,sector 28,2.1,900.0,2,8,3+,Moderately Old,0,0,0,0,1,2,Low,Mid Floor
flat,sector 102,2.05,2250.0,3,4,3+,Relatively New,0,1,0,0,0,1,Medium,High Floor
flat,sector 85,0.9,1436.0,3,3,3,Relatively New,0,0,0,0,0,1,Low,Mid Floor
flat,sector 106,1.15,1186.0,3,4,3+,Relatively New,1,1,0,0,0,2,High,High Floor
flat,sector 103,0.3,402.0,1,2,2,New Property,0,0,0,0,0,1,Low,Mid Floor
flat,sector 4,0.39,950.0,2,2,1,Relatively New,0,0,0,0,0,1,Low,Low Floor
flat,sector 102,1.5,1315.0,3,3,3,Relatively New,0,0,0,1,0,2,High,Mid Floor
flat,sector 71,0.6,557.0,2,2,1,Relatively New,0,0,0,1,0,1,Medium,Mid Floor
flat,sector 109,1.8,1910.0,3,3,2,Moderately Old,0,1,0,0,0,1,Medium,
flat,sector 2,0.98,1281.0,2,2,3,Moderately Old,0,0,0,0,0,1,Medium,High Floor
flat,sector 92,0.85,1423.0,3,3,0,Relatively New,0,0,0,0,0,1,Medium,
flat,sector 92,1.1,1778.0,4,3,2,New Property,0,0,0,0,0,1,Low,High Floor
flat,sector 65,2.8,1650.0,3,3,3+,Relatively New,1,1,0,0,0,2,Low,Mid Floor
flat,sector 104,1.16,2018.0,3,4,3+,Relatively New,0,1,0,0,0,2,Medium,Mid Floor
flat,sector 79,1.45,1578.0,2,2,3,Under Construction,0,0,0,0,0,1,Medium,High Floor
house,sector 4,0.7,684.0,3,2,1,New Property,1,0,0,0,0,1,Low,Low Floor
flat,sector 102,2.15,1690.0,3,3,3,Relatively New,0,0,0,0,0,2,Low,Mid Floor
house,sector 25,10.75,3600.0,9,9,3+,Old Property,0,1,1,1,0,1,Medium,Mid Floor
flat,sector 37c,1.0,1697.0,3,3,3+,Under Construction,0,0,0,0,0,1,Medium,Mid Floor
flat,sector 56,1.38,1910.0,3,3,3,Moderately Old,1,0,0,0,0,2,Medium,Mid Floor
house,sector 33,8.0,7000.0,4,4,3+,Old Property,1,1,1,1,0,1,Medium,Low Floor
house,sector 50,12.25,5850.0,5,7,3+,Relatively New,1,1,0,1,1,2,High,Low Floor
house,sector 9a,4.5,3150.0,9,9,3+,Relatively New,1,0,0,1,1,2,Low,Mid Floor
flat,sector 78,1.15,1969.0,3,3,3,Moderately Old,0,1,0,0,1,1,Low,Mid Floor
flat,sector 3,0.5,722.0,2,2,1,Old Property,0,0,0,0,0,2,Low,Low Floor
flat,sector 48,3.45,3000.0,4,4,3+,Moderately Old,0,0,0,0,0,1,Low,Low Floor
flat,sector 81,2.29,2315.0,3,4,3+,Relatively New,1,1,0,0,0,0,High,Mid Floor
house,sector 1,4.75,4500.0,6,7,0,Moderately Old,0,0,0,0,0,1,Low,Mid Floor
house,sector 72,8.5,6300.0,5,6,3+,Relatively New,1,1,1,1,0,2,Medium,Mid Floor
flat,sector 9a,0.88,1438.0,3,3,2,Old Property,0,0,0,0,0,2,Low,Low Floor
house,sector 24,6.5,2844.0,4,4,2,Old Property,0,0,0,1,0,1,Low,Low Floor
flat,sector 88a,2.65,1582.0,3,3,3+,New Property,0,0,0,0,0,1,Medium,Mid Floor
house,sector 4,0.75,640.0,2,4,3,Moderately Old,0,0,0,0,0,1,Low,Low Floor
flat,sector 82,0.97,1620.0,3,4,2,Relatively New,0,1,0,0,0,1,Medium,High Floor
flat,sector 79,0.95,1385.0,2,2,3,New Property,1,0,0,0,0,1,Low,Mid Floor
flat,sector 84,1.1,1710.0,3,3,3+,Moderately Old,0,0,0,0,0,2,Medium,High Floor
house,sector 33,9.5,4071.0,5,7,3+,Under Construction,1,1,1,1,0,1,Medium,Low Floor
house,sector 3,0.55,750.0,1,1,0,Moderately Old,0,0,0,0,0,1,Low,Low Floor
flat,sector 102,2.2,1186.0,3,4,3+,Relatively New,1,1,0,0,0,2,Low,High Floor
house,sector 6,1.0,240.0,6,4,0,Moderately Old,0,0,0,0,0,1,Low,Mid Floor
flat,sector 65,2.8,1650.0,4,4,3,Relatively New,1,0,0,0,0,2,Medium,Low Floor
flat,sector 62,4.0,2343.0,3,3,3,New Property,0,1,0,0,0,2,Low,High Floor
flat,sector 86,0.41,668.0,2,2,1,Relatively New,0,0,0,0,0,1,Medium,Mid Floor
flat,sector 77,1.64,1765.0,4,3,3,Relatively New,0,1,0,0,0,1,Medium,Mid Floor
house,sector 66,11.0,3240.0,5,6,3+,New Property,1,1,1,1,0,2,High,Low Floor
flat,sector 86,1.3,1715.0,3,3,3,Relatively New,0,1,0,1,0,2,Low,High Floor
house,sector 56,7.25,2471.0,8,8,3+,Moderately Old,0,0,0,0,0,2,Low,
flat,sector 82,1.12,1500.0,3,4,2,Relatively New,0,1,0,1,0,1,High,Mid Floor
flat,sector 48,1.8,1951.0,3,4,3,Moderately Old,1,0,0,0,0,2,Medium,Mid Floor
flat,sector 28,1.91,1278.0,2,2,2,New Property,0,0,0,0,0,0,Medium,High Floor
house,sector 50,11.29,3240.0,5,5,3+,Moderately Old,1,0,0,1,0,1,Low,Low Floor
flat,sector 79,1.33,1411.0,2,2,3,Relatively New,1,0,0,0,0,1,High,Mid Floor
flat,sector 50,2.7,2400.0,3,3,3+,Moderately Old,0,1,0,0,0,1,High,Mid Floor
house,sector 41,7.25,2475.0,9,8,3,Old Property,0,1,0,0,0,2,Medium,Mid Floor
flat,sector 72,4.1,2629.0,4,5,3+,New Property,0,1,0,0,1,1,Medium,High Floor
flat,sector 109,2.25,2339.0,3,4,3,Relatively New,0,1,0,0,0,1,Medium,High Floor
house,sector 14,5.5,3240.0,5,4,2,Old Property,1,0,0,0,0,1,Low,Low Floor
flat,sector 92,0.82,1523.0,3,3,3+,Relatively New,0,0,0,0,0,1,Low,High Floor
flat,sector 37c,0.95,1578.0,2,2,0,Under Construction,0,1,0,0,0,1,Medium,High Floor
flat,sohna road,0.32,1000.0,2,2,1,New Property,0,0,0,0,0,1,Low,High Floor
flat,sector 113,1.32,1199.0,2,2,2,Relatively New,0,0,0,0,0,1,Low,Mid Floor
flat,sector 78,1.15,1969.0,3,3,3,Moderately Old,0,1,0,0,1,1,Low,Mid Floor
house,sector 15,1.8,1800.0,4,3,1,Old Property,0,0,0,0,0,1,Low,Low Floor
house,sector 7,0.69,758.0,1,1,1,Old Property,0,0,0,0,0,1,Low,Low Floor
flat,sector 95,0.33,694.0,2,2,1,New Property,0,0,0,0,1,2,Medium,High Floor
flat,sector 102,1.8,1710.0,3,4,3,Relatively New,0,1,0,0,0,1,Low,High Floor
flat,sector 70a,1.25,1300.0,3,3,2,Relatively New,0,0,0,0,1,1,Low,Low Floor
house,sector 25,15.5,4518.0,5,6,3+,Moderately Old,1,1,1,1,0,1,Medium,Mid Floor
flat,sector 102,1.35,828.0,2,2,2,Under Construction,0,0,0,0,0,1,Low,Mid Floor
flat,sector 1,2.01,1956.0,4,4,3+,Moderately Old,0,0,0,0,0,0,Low,Mid Floor
flat,sector 88a,1.0,1611.0,2,2,3,Relatively New,1,0,0,0,0,1,Medium,Mid Floor
flat,sector 107,0.38,627.0,2,2,2,Relatively New,0,0,0,0,0,0,Low,Mid Floor
house,sohna road road,0.5,725.0,2,4,3,Relatively New,0,0,0,1,0,1,Low,Mid Floor
house,sector 25,6.3,1800.0,4,4,3+,Old Property,0,1,1,0,0,1,Medium,Low Floor
flat,sector 111,3.4,2670.0,4,5,3+,Relatively New,0,1,0,0,0,1,Medium,High Floor
house,sector 56,3.25,1512.0,5,6,3+,Relatively New,0,0,0,1,1,2,Low,Mid Floor
