property_type,sector,price,built_up_area,bedRoom,bathroom,balcony,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_category,floor_category
house,sector 49,6.75,2088.0,4,4,3,Relatively New,0,1,0,0,0,2,Low,Mid Floor
flat,sohna road,0.53,913.0,2,2,2,Relatively New,0,0,0,1,0,1,High,Low Floor
flat,sector 70a,1.2,1285.0,2,2,3,Moderately Old,0,0,0,0,0,1,Low,Mid Floor
flat,sector 37d,0.75,1410.0,2,2,3,Moderately Old,0,0,0,0,0,1,Medium,High Floor
flat,sector 107,0.75,1201.0,2,2,3+,Relatively New,0,0,0,1,0,1,High,High Floor
flat,sector 71,1.2,1466.0,3,3,3,Relatively New,0,0,0,0,1,2,Low,Mid Floor
flat,sector 83,1.4,1582.0,3,3,3,Relatively New,0,1,0,0,0,0,Medium,High Floor
flat,sector 89,1.2,1423.0,3,3,2,New Property,0,0,0,0,0,1,Low,Low Floor
flat,sector 70a,0.95,930.0,2,2,1,New Property,0,0,0,0,0,2,Medium,High Floor
flat,sector 51,0.3,459.0,1,1,2,Old Property,0,0,0,0,0,1,Low,
flat,sector 70,1.15,1222.0,2,2,3,Relatively New,1,0,0,0,1,1,Low,Mid Floor
house,sector 14,6.5,3150.0,4,4,3+,Moderately Old,0,0,0,0,0,1,Low,Low Floor
flat,sector 88a,1.15,1380.0,2,2,3,Relatively New,1,0,0,1,0,1,High,High Floor
flat,sector 83,1.25,1792.0,3,3,2,Relatively New,0,1,0,0,0,1,Medium,Low Floor
flat,sector 86,0.5,573.0,2,2,2,Old Property,0,0,0,0,0,1,Low,Mid Floor
house,sector 2,4.95,2430.0,6,5,3+,Relatively New,0,1,0,0,0,1,Medium,Mid Floor
flat,sector 12,0.35,737.0,2,2,1,Moderately Old,0,0,0,0,0,1,Low,Low Floor
flat,sector 60,2.65,2037.0,3,4,3+,Moderately Old,0,1,0,0,0,2,High,Mid Floor
flat,manesar,1.25,2944.0,3,3,3+,Moderately Old,0,1,0,0,0,1,Low,Mid Floor
flat,sector 65,3.67,2040.0,3,3,2,Under Construction,0,1,0,0,0,1,Low,High Floor
flat,sector 33,1.79,1619.0,3,3,3,Old Property,0,0,0,0,0,1,Medium,Mid Floor
flat,sector 113,2.75,2886.0,4,4,3+,Under Construction,1,1,0,1,0,0,Medium,High Floor
house,sector 54,3.75,1440.0,4,4,3,Moderately Old,0,1,0,0,0,2,Low,Mid Floor
flat,sector 69,1.4,1428.0,3,3,2,Relatively New,0,0,0,1,0,1,Medium,Low Floor
house,sector 92,2.75,5000.0,4,4,3+,Relatively New,1,0,0,1,0,1,Low,Mid Floor
flat,sector 54,6.75,2455.0,4,6,3+,Moderately Old,0,1,0,0,0,2,Medium,High Floor
flat,sector 82,0.86,1294.0,2,2,2,Relatively New,1,0,0,0,0,2,Medium,High Floor
flat,sector 104,2.25,2303.0,3,4,3+,Relatively New,0,1,0,0,0,2,High,Mid Floor
flat,sector 104,1.35,2991.0,4,5,3+,Relatively New,1,1,1,1,0,1,Medium,
flat,sector 56,2.0,2253.0,4,4,3,Relatively New,0,0,0,0,1,2,Low,Mid Floor
flat,sector 88a,1.38,2296.0,3,3,3+,Relatively New,0,1,0,0,0,1,Medium,Mid Floor
house,sector 9,0.35,360.0,2,2,1,Old Property,0,0,0,0,0,1,Low,Low Floor
flat,sector 36a,0.65,657.0,2,2,2,Relatively New,0,0,0,0,0,1,Medium,Mid Floor
flat,sohna road,0.73,978.0,2,2,3,Relatively New,0,0,0,1,0,1,Low,Mid Floor
flat,sector 79,1.28,1362.0,3,3,3,Relatively New,0,0,0,0,0,1,High,Mid Floor
house,sector 23,5.5,4200.0,9,9,3+,Moderately Old,0,1,0,0,1,2,Low,Mid Floor
house,sector 26,16.0,4235.0,4,4,3,Relatively New,1,0,1,1,0,1,Low,Low Floor
flat,manesar,0.48,993.0,2,2,3,Moderately Old,0,0,0,0,0,1,Medium,Mid Floor
house,sector 70a,4.02,5500.0,4,4,3+,Relatively New,1,1,1,1,0,1,Medium,Mid Floor
flat,sector 2,0.56,723.0,1,1,2,Moderately Old,0,0,0,0,0,1,Medium,Mid Floor
flat,sector 90,1.99,3030.0,4,4,3+,Relatively New,0,1,0,1,0,2,Medium,Mid Floor
house,sector 109,6.3,7000.0,4,5,3+,Relatively New,0,0,0,0,0,2,Medium,Low Floor
flat,sector 108,0.98,978.23,2,3,3,Relatively New,1,0,0,0,0,1,Medium,Mid Floor
flat,sector 104,1.75,2582.0,4,5,3+,New Property,0,1,0,0,0,1,Medium,Low Floor
flat,sector 81,3.45,2527.0,4,4,3+,Moderately Old,0,1,0,0,0,1,Medium,High Floor
flat,sohna road,0.39,720.0,2,2,2,Relatively New,0,0,0,0,0,1,Low,Mid Floor
flat,sector 49,1.72,2444.0,3,3,2,Old Property,0,0,0,0,0,2,Medium,Low Floor
flat,sector 92,0.75,1298.0,3,2,2,New Property,0,0,0,0,0,1,Medium,Mid Floor
flat,sohna road,0.26,640.0,2,2,2,New Property,0,0,0,0,0,1,Medium,Mid Floor
flat,sector 22,1.99,1285.0,2,2,2,New Property,1,1,0,1,0,1,Low,Mid Floor
flat,sector 65,3.2,3150.0,4,3,2,Relatively New,0,1,0,0,0,1,Low,Low Floor
flat,sector 86,0.95,1878.0,3,2,1,New Property,0,0,0,0,0,1,Low,Mid Floor
flat,sector 7,0.8,1100.0,3,2,1,Relatively New,0,0,0,0,0,2,Medium,Mid Floor
flat,sector 90,0.7,1224.0,2,2,3,New Property,1,0,0,0,1,1,Medium,Mid Floor
flat,sector 102,0.97,742.0,2,2,2,Relatively New,0,0,0,0,0,1,High,Mid Floor
flat,sector 91,1.75,2139.0,4,4,3+,Relatively New,0,1,0,1,0,1,Medium,Mid Floor
flat,sector 102,2.12,1571.0,3,3,3,New Property,0,0,0,0,0,1,Medium,Mid Floor
flat,sector 113,1.38,1350.0,2,2,3,New Property,1,0,0,0,0,1,High,Mid Floor
flat,sector 85,1.49,2017.0,4,5,3+,Relatively New,0,1,0,0,0,2,Medium,Mid Floor
flat,sector 110,4.0,3350.0,4,4,3,New Property,0,0,0,0,0,1,Medium,High Floor
flat,sector 74,1.4,1289.0,2,2,2,New Property,0,0,0,0,0,2,High,High Floor
flat,sector 49,1.69,2178.0,3,3,3,Moderately Old,0,0,0,1,0,1,Medium,Mid Floor
house,sector 109,5.7,5400.0,4,5,3+,Relatively New,1,1,1,1,0,1,High,Mid Floor
house,sector 24,11.0,5000.0,8,11,3+,Old Property,1,1,0,1,1,2,Low,Mid Floor
flat,sohna road,0.32,644.0,2,2,1,New Property,0,0,0,0,0,1,Low,Mid Floor
flat,sector 71,1.35,2127.0,4,4,3,Moderately Old,0,1,0,0,0,1,Low,Mid Floor
flat,sector 81,4.7,6268.0,4,4,3+,Relatively New,0,1,0,0,0,2,Medium,High Floor
flat,sector 85,2.5,2013.0,4,5,3+,Under Construction,1,0,0,1,1,2,Low,High Floor
flat,sector 37d,1.1,1990.0,3,3,3,Relatively New,0,0,0,0,0,1,Medium,Mid Floor
flat,sector 61,1.6,1278.0,2,2,2,Under Construction,1,0,0,0,0,1,Low,Mid Floor
flat,sector 92,0.7,140.0,3,3,2,Under Construction,0,0,0,0,0,1,Low,High Floor
flat,sector 95,0.45,632.0,2,2,2,New Property,0,0,0,0,0,2,Low,Low Floor
flat,sector 85,2.09,2600.0,4,4,3,Relatively New,1,1,0,1,0,1,Low,Mid Floor
flat,sector 77,0.71,1057.0,2,2,2,Relatively New,1,0,0,0,0,1,Medium,Mid Floor
flat,sector 66,3.5,2150.0,3,4,3,Relatively New,0,1,0,0,0,1,Medium,Mid Floor
flat,sector 61,2.41,1630.0,3,3,3,New Property,0,0,0,0,0,1,Medium,Low Floor
house,sector 24,4.5,1350.0,2,8,3+,Relatively New,0,1,1,0,0,2,Medium,Mid Floor
flat,sector 84,1.02,1896.0,4,4,3+,Relatively New,0,1,0,1,0,1,Medium,High Floor
house,sector 43,7.0,2700.0,5,5,3+,Relatively New,1,1,0,1,0,2,Low,Mid Floor
flat,sector 47,1.8,2857.0,4,4,3+,Moderately Old,0,0,1,0,0,2,Medium,Mid Floor
house,sector 14,3.4,2250.0,3,3,3,Old Property,0,0,0,0,0,1,Low,Low Floor
flat,sector 85,2.14,2300.0,4,4,3,Relatively New,1,1,0,1,0,1,Low,Mid Floor
house,sector 2,6.0,2430.0,5,6,3+,Old Property,1,0,0,1,1,2,Low,Mid Floor
flat,sector 102,1.35,1315.0,3,3,3,Relatively New,0,1,0,0,0,1,Medium,Mid Floor
flat,sector 3,0.26,611.0,2,1,2,Relatively New,0,0,0,0,0,1,Low,Low Floor
flat,sector 69,1.78,1819.0,4,4,2,Relatively New,0,0,0,1,0,2,High,Mid Floor
flat,sector 79,0.95,1385.0,2,2,3,New Property,1,0,0,0,0,1,Low,Mid Floor
flat,sector 81,1.15,1463.0,3,2,3+,Relatively New,1,0,0,0,0,2,Medium,Mid Floor
flat,sector 70,1.8,1765.0,3,3,3+,New Property,0,0,0,0,1,2,Low,Mid Floor
flat,manesar,0.75,1502.0,3,2,2,Moderately Old,0,0,0,0,0,1,Low,Mid Floor
house,sector 26,5.8,1800.0,5,5,3+,Old Property,1,1,1,1,0,1,Medium,Low Floor
flat,sector 56,1.35,1800.0,3,3,3,Old Property,0,0,0,0,1,2,Medium,Mid Floor
flat,sector 52,5.0,5200.0,5,5,3+,Moderately Old,0,0,0,0,0,1,Low,Low Floor
flat,sector 63a,1.55,1167.0,2,2,2,Under Construction,0,0,0,0,0,1,Low,Low Floor
flat,sector 81,1.35,1438.0,3,3,3+,Moderately Old,0,0,1,0,0,2,Medium,Mid Floor
flat,sector 102,2.5,2600.0,4,5,3+,Relatively New,0,1,0,1,0,2,High,Mid Floor
house,sector 43,5.5,1935.0,1,1,0,Old Property,0,0,0,0,1,1,Low,Low Floor
flat,sector 69,1.7,1428.0,3,3,2,Relatively New,0,0,0,1,0,1,Low,
house,sector 3,1.5,1980.0,7,2,0,Moderately Old,0,0,0,0,0,1,Low,Low Floor
flat,sector 69,1.55,1455.0,3,3,2,Relatively New,0,0,0,1,0,2,Medium,Low Floor
flat,sector 104,0.82,86.0,2,2,3,Relatively New,1,0,0,0,0,1,Medium,High Floor
flat,sector 10a,1.1,1833.0,3,3,3,Moderately Old,0,0,0,0,0,1,Low,Low Floor
house,sector 13,1.25,115.0,3,6,2,Old Property,0,0,0,0,1,1,Low,Mid Floor
flat,sector 63a,2.2,997.0,2,3,3+,Under Construction,0,0,0,0,0,1,Medium,Mid Floor
flat,sector 68,1.0,1311.0,2,2,3,New Property,0,0,0,0,0,1,Low,High Floor
flat,sector 113,3.0,2460.0,3,3,3+,Relatively New,0,1,0,0,0,1,High,Mid Floor
house,sector 56,3.6,1449.0,5,5,3+,Moderately Old,0,0,0,0,1,1,Low,Mid Floor
house,sector 24,1.6,540.0,7,5,3+,Old Property,0,0,0,0,0,1,Low,Mid Floor
house,sector 112,9.5,7450.0,5,5,3,Relatively New,0,1,0,0,0,1,Low,Low Floor
flat,sector 81,1.45,1352.0,3,2,3+,Relatively New,0,0,0,0,1,1,Low,Mid Floor
flat,sohna road,0.29,743.0,2,2,1,Relatively New,0,0,0,0,0,1,Low,Mid Floor
flat,sector 11,0.33,761.0,2,2,0,Relatively New,0,0,0,0,0,1,Low,High Floor
flat,sector 51,0.3,80.0,1,1,0,Moderately Old,1,0,0,0,0,1,Low,
house,sector 43,2.75,1080.0,3,3,1,Moderately Old,0,0,0,1,0,1,Low,Low Floor
flat,sector 85,2.1,2026.0,3,4,3+,Relatively New,0,1,0,0,0,1,High,Mid Floor
flat,sector 102,1.38,1315.0,3,3,3,Relatively New,0,1,0,0,0,2,Medium,Mid Floor
flat,sector 37c,0.55,669.0,1,1,0,Relatively New,0,0,0,0,0,1,Low,Mid Floor
house,sector 67,3.0,2800.0,4,4,0,Moderately Old,0,0,0,0,0,1,Low,Mid Floor
flat,sector 92,0.65,1574.0,3,3,2,Relatively New,0,0,0,0,0,1,Low,Mid Floor
flat,sector 111,3.5,2700.0,4,5,3+,Relatively New,0,1,0,0,0,2,Low,Mid Floor
flat,sector 102,1.54,1315.0,3,3,3,Relatively New,0,1,0,0,0,1,Medium,High Floor
flat,sohna road,0.85,978.0,2,2,3,New Property,0,0,0,0,0,1,Medium,Mid Floor
house,sector 5,3.5,2250.0,6,5,2,Old Property,1,1,0,1,1,0,High,Mid Floor
flat,sector 68,1.05,1200.0,2,2,2,New Property,0,0,0,0,0,2,Medium,High Floor
flat,sector 65,5.5,2803.0,3,4,3,Relatively New,0,1,0,0,0,1,Low,Mid Floor
flat,sector 107,0.9,1281.0,2,2,3,Relatively New,1,0,0,0,0,2,Medium,Mid Floor
flat,gwal pahari,7.0,5430.0,4,4,3+,Relatively New,0,1,0,0,0,1,Medium,Mid Floor
flat,sector 92,2.0,2453.0,4,5,3+,Relatively New,0,1,0,0,0,2,Medium,High Floor
flat,sector 102,4.55,4630.0,4,4,3+,Relatively New,0,0,0,0,0,2,Medium,High Floor
flat,sector 108,3.95,2343.0,4,5,3,Relatively New,0,0,0,0,0,1,Medium,High Floor
flat,sector 54,1.55,2000.0,3,3,3+,Moderately Old,0,0,0,1,1,2,Medium,Mid Floor
flat,sector 113,1.5,1155.0,2,2,2,New Property,0,0,0,0,0,1,Medium,High Floor
flat,sector 69,0.62,536.0,2,2,1,Relatively New,0,0,0,0,0,2,Medium,Mid Floor
flat,sector 85,1.35,102.0,2,2,3,Under Construction,0,0,0,0,0,1,Low,High Floor
flat,sector 108,2.6,1711.0,3,3,2,Relatively New,0,0,0,0,0,1,Medium,Mid Floor
flat,sector 54,11.0,2826.0,4,6,3,Relatively New,0,1,0,0,0,0,Medium,Mid Floor
house,sector 39,0.34,450.0,1,1,1,Relatively New,0,0,0,0,0,1,Low,Low Floor
flat,manesar,0.9,2321.0,3,3,3+,Moderately Old,0,1,0,0,0,1,Low,Mid Floor
house,sector 9,1.65,900.0,2,3,0,Old Property,0,0,0,0,0,1,Low,Mid Floor
flat,sector 65,4.94,2754.0,3,4,3,Moderately Old,0,1,0,0,0,1,High,High Floor
flat,sector 37c,1.44,1789.0,3,3,3+,Relatively New,1,1,0,0,1,1,Low,Low Floor
flat,sector 77,1.25,1611.0,3,4,3,Relatively New,0,1,0,0,0,2,Medium,Low Floor
flat,sector 81,2.7,2343.0,3,3,3,Relatively New,0,1,0,0,0,2,Low,High Floor
house,sector 3,0.68,1755.0,5,3,0,Moderately Old,0,0,0,0,0,1,Low,Low Floor
house,sector 38,3.5,1440.0,3,3,2,Relatively New,0,0,0,0,0,1,Low,Low Floor
house,sector 12,0.9,675.0,2,4,0,Old Property,0,0,0,0,0,1,Low,Low Floor
house,sector 33,9.55,4950.0,6,7,3+,Relatively New,1,1,1,1,0,2,Medium,Low Floor
flat,sector 56,1.65,2131.0,3,3,3+,Moderately Old,1,0,0,0,0,2,Medium,Mid Floor
flat,sector 68,1.15,1127.0,2,2,3,New Property,0,0,0,0,0,1,Low,Mid Floor
flat,sector 83,1.38,1350.0,3,3,3,Relatively New,0,1,0,0,0,2,Low,Mid Floor
flat,sohna road,0.72,1131.0,2,2,3+,Relatively New,1,0,0,0,0,1,High,High Floor
house,sector 25,10.85,2844.0,6,6,1,Relatively New,0,0,1,0,0,2,Medium,Mid Floor
flat,sector 65,13.2,12222.0,4,4,3,Moderately Old,0,1,0,0,0,1,Medium,High Floor
house,sector 26,4.0,1350.0,4,4,3,Old Property,0,0,1,0,0,1,Low,Low Floor
flat,sector 86,1.05,1715.0,3,3,3,Under Construction,0,1,0,0,0,1,Low,Mid Floor
house,sector 5,3.5,2367.0,5,4,2,Old Property,0,0,0,1,1,1,Low,Low Floor
flat,sohna road,0.45,590.0,2,2,1,New Property,0,0,0,0,0,1,Low,Mid Floor
house,sector 48,8.5,3240.0,4,4,1,Relatively New,0,0,0,0,0,1,Low,Low Floor
flat,sector 67,2.8,2047.0,3,3,3,Moderately Old,0,1,0,0,0,0,Low,Mid Floor
flat,sector 79,2.0,1963.0,3,4,3+,Relatively New,0,1,0,0,0,1,Medium,Mid Floor
flat,manesar,0.86,1900.0,3,3,3+,Moderately Old,0,1,0,0,0,1,Medium,Mid Floor
flat,sector 23,0.16,706.0,2,2,2,Moderately Old,0,0,0,0,0,1,Low,Low Floor
flat,sector 106,1.2,1145.0,3,3,3,Relatively New,1,0,0,0,0,1,High,High Floor
flat,sector 95,0.43,1300.0,2,2,2,Relatively New,0,0,0,0,0,1,Medium,Mid Floor
flat,sector 79,1.3,1330.0,2,2,2,Relatively New,1,0,0,0,0,2,Medium,Mid Floor
house,sector 48,5.15,2727.0,5,7,3,Moderately Old,0,1,0,1,0,2,Medium,Low Floor
flat,sector 106,1.2,1186.0,3,4,3+,Relatively New,0,1,0,0,0,1,High,Mid Floor
flat,sector 89,1.71,1423.0,3,2,0,New Property,0,0,0,0,0,1,Low,Mid Floor
flat,sector 78,0.75,1239.0,2,2,1,Moderately Old,0,0,0,0,0,1,Low,Mid Floor
flat,sector 83,1.4,2167.0,4,4,3,Relatively New,0,1,0,0,0,1,Low,Mid Floor
house,sector 26,4.5,1350.0,3,3,2,Old Property,0,0,0,1,0,2,Medium,Low Floor
flat,sector 69,1.3,1419.0,3,3,1,Relatively New,0,0,0,1,0,1,Medium,High Floor
house,sector 3 phase 3 extension,1.0,1500.0,1,1,0,Moderately Old,0,0,0,0,0,1,Low,Low Floor
flat,sector 2,3.35,5000.0,4,4,3+,New Property,1,0,0,0,0,1,Medium,Low Floor
flat,sector 95,0.35,637.0,2,2,0,New Property,0,0,0,0,0,1,Low,Mid Floor
flat,sector 37c,0.6,1180.0,2,2,3,Under Construction,1,0,0,1,0,1,Medium,Mid Floor
flat,sector 95,0.72,1800.0,3,3,2,Relatively New,0,0,0,0,1,1,Low,Mid Floor
house,sector 25,13.5,3618.0,5,6,3+,Old Property,0,0,0,0,1,2,Medium,Mid Floor
flat,sector 82,1.15,1620.0,3,4,2,Relatively New,0,1,0,1,0,2,Medium,High Floor
flat,sector 54,1.5,1700.0,3,3,3+,Moderately Old,0,0,0,1,0,2,Medium,Mid Floor
flat,sector 107,1.8,1837.0,3,4,3+,Relatively New,0,1,0,0,0,1,Medium,Low Floor
flat,sector 63,3.0,2000.0,3,3,3,New Property,0,0,0,0,0,1,Low,Mid Floor
flat,sector 92,0.8,1473.0,3,2,2,Relatively New,0,0,0,0,0,1,Low,Mid Floor
flat,sector 104,2.49,2217.0,3,3,3+,Relatively New,0,1,0,0,0,2,Medium,High Floor
flat,sector 69,1.4,1428.0,3,3,2,Relatively New,0,0,0,1,0,1,Medium,Mid Floor
flat,sector 49,4.79,3724.0,5,5,3+,Relatively New,1,1,0,1,0,1,Low,High Floor
house,sector 109,7.0,5400.0,5,6,2,Relatively New,0,1,0,0,0,1,High,Low Floor
flat,sector 103,1.2,1288.0,2,2,3,Moderately Old,0,0,0,0,0,1,Low,Mid Floor
flat,sector 79,1.25,1383.0,2,2,3,Relatively New,0,0,0,0,0,1,Low,Low Floor
flat,sector 56,0.65,839.0,1,1,1,Moderately Old,0,0,0,0,0,1,Medium,
flat,sohna road,0.54,922.0,2,2,1,Relatively New,0,0,0,0,0,1,Low,Low Floor
house,sector 26,15.0,4500.0,4,4,3,Moderately Old,0,1,1,0,0,2,Low,Mid Floor
house,sector 38,8.0,3123.0,10,10,3+,Relatively New,0,0,0,0,0,1,Low,Low Floor
house,sector 11,2.2,1800.0,4,3,2,Old Property,1,0,0,1,0,1,Low,Low Floor
house,sector 2,4.0,2400.0,4,4,3+,Moderately Old,0,1,0,0,0,1,Low,Low Floor
flat,sector 106,1.25,1305.0,3,4,3,Relatively New,1,1,0,0,0,1,High,High Floor
flat,sector 90,1.55,2139.0,4,4,3+,Relatively New,0,1,0,1,0,1,Medium,Low Floor
house,sector 31,3.69,1557.0,4,4,2,Moderately Old,1,1,0,1,0,2,Medium,Low Floor
flat,sector 67a,1.5,1500.0,2,2,2,Relatively New,0,0,1,0,0,2,Low,Mid Floor
flat,sector 109,1.6,3008.0,4,1,0,New Property,0,0,0,0,0,1,Low,
flat,sector 102,0.95,915.0,2,2,2,Relatively New,0,0,0,0,0,1,Low,High Floor
flat,sector 58,3.83,2000.0,3,4,2,Relatively New,1,1,0,0,0,2,High,Mid Floor
house,sector 56,3.4,1530.0,6,6,3+,Moderately Old,0,0,0,0,0,2,Low,Low Floor
house,sector 2,5.7,2430.0,9,9,3+,Moderately Old,0,0,0,1,0,2,Low,Mid Floor
house,sector 70a,0.9,1319.0,2,2,3+,New Property,0,1,0,0,1,1,High,Mid Floor
flat,sector 92,0.65,1304.0,3,3,3,Moderately Old,0,0,0,0,0,1,Medium,Low Floor
flat,sector 89,1.2,1423.0,3,3,2,New Property,1,0,0,0,1,1,Low,Mid Floor
flat,sector 37d,1.67,2091.0,4,4,3,Relatively New,0,0,0,0,0,2,Medium,High Floor
flat,sector 48,4.3,3444.0,4,5,3+,New Property,1,1,0,1,0,1,Medium,Mid Floor
flat,sector 68,1.1,1244.0,2,2,3,New Property,0,0,0,0,0,1,Medium,High Floor
flat,sector 37d,1.5,1376.0,3,2,3+,Relatively New,0,0,0,0,0,1,Low,High Floor
flat,sector 80,1.6,2047.0,3,3,3,Moderately Old,0,1,0,0,0,1,Medium,Mid Floor
flat,sector 33,1.45,118.0,3,2,3+,Under Construction,1,0,0,0,0,1,Medium,High Floor
flat,sector 92,0.65,1571.0,3,3,3,Moderately Old,0,0,0,0,0,1,Low,Mid Floor
flat,sector 37c,0.75,1430.0,2,2,3+,Relatively New,0,0,0,0,0,1,Medium,High Floor
house,sector 48,8.4,3240.0,4,4,3,Old Property,0,1,0,1,0,2,Low,Low Floor
flat,sector 90,1.19,1562.0,3,3,2,Relatively New,0,0,0,0,1,1,Medium,High Floor
flat,sector 33,1.4,113.0,3,2,3+,New Property,0,0,0,0,0,1,Medium,High Floor
flat,sector 99a,1.13,1790.0,3,5,3,Relatively New,0,1,0,0,1,1,Low,Mid Floor
flat,sector 50,6.75,3395.0,4,4,0,Moderately Old,0,0,0,0,0,1,Low,Mid Floor
flat,sector 3,1.1,956.0,2,2,2,Under Construction,0,0,0,0,0,1,Medium,High Floor
house,sector 28,13.0,8056.0,10,10,3+,Relatively New,0,0,0,0,0,1,Low,Low Floor
flat,sector 104,1.75,1529.0,3,3,3,Under Construction,0,0,0,0,0,1,Low,Low Floor
flat,gwal pahari,1.53,1589.0,3,3,3,New Property,0,0,0,0,0,2,Medium,Low Floor
flat,sector 102,1.8,1531.0,3,3,3,Relatively New,0,0,0,0,0,1,Low,Mid Floor
flat,sector 37d,1.25,1725.0,3,3,3+,Under Construction,0,0,0,0,0,1,Low,Low Floor
house,sector 17,0.29,891.0,2,1,0,Old Property,0,0,0,0,0,1,Low,
flat,sector 90,0.65,1222.0,2,2,3,Relatively New,1,0,0,0,0,1,High,Mid Floor
flat,sector 104,1.75,2072.0,3,4,3+,Relatively New,0,1,0,0,0,1,Medium,High Floor
flat,sector 88a,1.4,1674.0,3,3,3+,Relatively New,0,0,0,0,0,2,Low,Mid Floor
flat,sector 82,0.63,1026.0,2,2,3+,Relatively New,1,0,0,0,0,1,Medium,Low Floor
house,sector 17a,1.52,105.0,2,2,1,Old Property,0,0,0,0,0,1,Low,Low Floor
flat,sector 81,2.4,2407.0,3,4,3+,New Property,1,1,0,0,0,2,High,Mid Floor
house,sector 45,10.0,3240.0,6,6,3+,Moderately Old,1,1,1,1,0,2,Medium,Mid Floor
flat,sector 103,0.8,1361.0,2,2,2,Relatively New,0,0,0,0,0,1,Low,Mid Floor
flat,sector 37c,1.22,1665.0,3,4,3,Relatively New,0,0,0,0,0,1,Medium,Mid Floor
flat,sector 70,1.1,1444.0,2,2,2,Relatively New,0,0,0,0,0,1,Medium,Mid Floor
house,sector 57,8.31,3438.0,5,6,3+,Old Property,1,1,1,1,0,1,Low,Mid Floor
flat,sector 102,1.78,1748.0,3,4,3+,Moderately Old,0,1,0,0,0,1,Medium,Mid Floor
flat,sector 36,0.82,850.0,3,2,2,New Property,0,0,0,0,0,1,Low,Low Floor
flat,sector 84,1.2,1457.0,2,2,3,Relatively New,1,0,0,0,0,2,Medium,Mid Floor
house,sector 12,1.7,1800.0,1,1,1,Old Property,0,1,0,0,0,1,Low,Low Floor
flat,sector 84,2.2,3222.0,4,4,3,Relatively New,0,1,0,0,0,1,Low,Mid Floor
house,sector 3,0.8,981.0,2,4,1,Moderately Old,0,0,0,0,0,1,Low,Low Floor
flat,sector 89,0.86,1226.0,2,3,2,New Property,1,1,0,1,0,2,Medium,Mid Floor
flat,sector 95,0.32,610.0,2,2,1,Relatively New,0,0,0,1,0,2,Medium,Mid Floor
house,sector 48,22.0,8250.0,5,6,3,Moderately Old,0,1,0,0,0,1,Medium,Mid Floor
flat,sector 69,0.91,1473.0,3,2,2,Moderately Old,0,0,0,0,0,1,Low,High Floor
flat,sector 49,1.79,1556.0,3,3,3,Old Property,0,1,0,0,0,1,Low,Mid Floor
flat,sector 89,1.5,1923.0,3,3,3,Relatively New,1,1,0,0,0,1,Medium,Mid Floor
flat,sector 69,1.29,1419.0,3,3,1,Relatively New,0,0,0,1,0,2,Medium,High Floor
house,sector 50,11.5,3240.0,5,6,0,Moderately Old,0,0,0,0,0,1,Low,Low Floor
house,sector 25,10.5,3618.0,5,5,3,Moderately Old,1,1,0,1,0,1,Low,Mid Floor
flat,sector 110,0.22,543.0,2,1,1,Relatively New,0,0,0,0,0,1,Low,Low Floor
house,sector 2,1.0,1215.0,3,7,3+,Moderately Old,0,0,0,1,0,1,Low,Mid Floor
flat,sector 2,0.2,556.0,1,1,1,Moderately Old,0,0,0,0,1,1,Low,Low Floor
flat,sector 81,1.0,1131.0,2,2,2,Relatively New,0,0,0,0,0,1,Low,Mid Floor
flat,sector 77,1.75,1900.0,3,3,3+,Relatively New,0,1,0,0,0,1,Medium,High Floor
flat,sector 95,0.27,758.0,2,2,0,New Property,0,0,0,0,0,1,Low,Low Floor
flat,sector 89,1.33,1423.0,3,3,3,Under Construction,1,0,0,0,0,1,Medium,Mid Floor
flat,sector 86,1.5,1780.0,3,3,3+,Relatively New,1,0,0,0,0,1,High,High Floor
flat,sector 72,4.25,2941.0,4,4,3+,Relatively New,0,1,0,0,0,2,High,
flat,sector 50,8.0,10000.0,4,3,3,Moderately Old,0,1,0,0,0,1,Low,Mid Floor
house,sector 26,17.0,4518.0,5,6,3,Old Property,0,1,1,1,0,2,Medium,Low Floor
flat,sohna road,0.26,521.0,2,2,2,Moderately Old,0,0,0,0,0,1,Low,Low Floor
flat,sector 113,1.75,1424.0,2,2,3,Relatively New,1,0,0,0,0,1,Medium,Mid Floor
flat,sector 90,1.27,2248.0,4,5,2,New Property,1,1,0,0,0,1,Medium,Mid Floor
flat,sohna road,0.46,800.0,2,2,2,Relatively New,0,0,0,0,0,0,Medium,Mid Floor
flat,sector 56,1.55,1800.0,3,3,3+,Old Property,0,1,0,1,1,1,High,Mid Floor
flat,sector 107,0.29,543.0,2,2,2,Relatively New,0,0,0,0,0,1,Low,Mid Floor
flat,manesar,0.92,1924.0,3,3,3+,Moderately Old,0,1,0,0,0,1,Low,Mid Floor
flat,sector 37c,1.27,1581.0,3,3,3,Relatively New,1,0,0,0,1,1,Low,Low Floor
flat,sector 106,1.34,1535.0,4,5,3+,Relatively New,0,1,0,0,0,1,Low,Mid Floor
house,sector 25,8.0,11111.0,3,9,2,New Property,0,0,0,0,0,1,Low,Mid Floor
flat,sector 82a,2.91,3902.0,4,4,3,Under Construction,1,1,1,0,0,2,Medium,Mid Floor
flat,sector 69,1.7,1819.0,4,4,2,Relatively New,0,0,0,0,0,1,Medium,Mid Floor
