property_type,sector,society,price,area,price_per_sqft,built_up_area,carpet_area,super_built_up_area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,sector 36a,krisumi waterfall residences,2.3,1479.0,15551.0,1479.0,,,2,2,2,23.0,,Undefined,0,0,0,0,0,1,58
flat,sector 56,shri banke bihari society,1.35,1400.0,9642.0,1450.0,1400.0,1500.0,3,3,3+,4.0,,Old Property,0,0,0,0,1,2,174
flat,sector 59,conscient elevate,3.78,2291.0,16500.0,,2295.0,,3,3,3,3.0,,Under Construction,0,0,0,0,0,1,31
house,sector 48,vipul tatvam villa,8.5,4000.0,21250.0,4000.0,,,4,5,3+,2.0,North,Moderately Old,1,1,0,1,1,2,49
flat,sector 51,the arzoo cghs,2.1,2300.0,9130.0,2300.0,,,4,4,3,1.0,,Relatively New,0,0,0,0,0,1,58
flat,sector 82a,dlf the primus,3.5,2606.0,13430.0,,2606.0,,5,5,3+,14.0,North-East,Relatively New,1,0,0,0,0,0,49
flat,sector 65,m3m heights,2.5,1838.0,13600.0,,,1828.0,3,3,3,19.0,,Under Construction,0,0,0,0,0,1,48
flat,sector 54,dlf park place,4.86,1875.0,25920.0,,,1875.0,3,4,3+,7.0,West,Relatively New,0,1,0,0,0,2,49
flat,sector 90,dlf new town heights,1.3,1930.0,6735.0,1929.0,1928.0,1930.0,3,3,3+,10.0,South,Relatively New,0,1,0,1,0,2,129
flat,sector 85,godrej air,1.8,1370.0,13136.0,,127.3,,3,3,3,30.0,,Under Construction,0,0,0,0,0,1,45
flat,sector 68,m3m the marina,1.32,1507.0,8759.0,,,1507.0,2,2,3,15.0,North-East,Relatively New,1,0,0,0,0,1,120
flat,sector 90,shree vardhman flora,0.65,1350.0,4814.0,,,1350.0,2,2,3,10.0,North,Moderately Old,1,0,0,0,0,2,83
flat,sector 70a,aipl zen residences,1.34,1304.0,10276.0,,,1304.0,2,2,3+,17.0,East,New Property,0,0,0,0,0,2,110
flat,sector 83,vatika lifestyle homes,1.05,1400.0,7500.0,1600.0,1400.0,1755.0,3,2,2,1.0,South-West,Moderately Old,0,0,0,0,0,2,106
flat,sector 65,emaar mgf emerald floors premier,2.9,1975.0,14683.0,,1975.0,,4,4,0,0.0,North,Relatively New,0,0,1,0,0,1,50
flat,sector 69,tulip violet,1.19,1350.0,8814.0,,1350.0,,2,3,1,0.0,West,Relatively New,1,0,0,0,0,1,174
house,sector 31,independent,3.5,1449.0,24155.0,1449.0,,,4,3,3,2.0,South-West,Moderately Old,0,0,1,0,0,2,81
flat,sector 113,la vida by tata housing,2.7,1650.0,16363.0,2217.0,1650.0,,3,4,3+,4.0,North-West,Relatively New,0,1,0,0,0,2,49
house,sector 109,international city by sobha phase 2,9.4,3600.0,26111.0,3600.0,,,5,6,3+,2.0,North-East,Relatively New,1,1,1,1,0,2,147
flat,sector 37c,piedmont taksila heights,0.9,1537.0,5855.0,1537.0,,,3,3,3,9.0,South-West,Moderately Old,0,0,0,0,0,2,94
flat,sohna road,silverglades the melia,0.78,1350.0,5777.0,,,1350.0,2,2,3,9.0,,Under Construction,1,0,0,0,0,1,72
flat,sector 107,m3m woodshire,1.3,1202.0,10815.0,,1202.0,1943.0,3,3,3,7.0,,Relatively New,0,0,0,1,0,1,89
house,sector 4,independent,0.65,585.0,11111.0,585.0,,,4,2,2,,,Moderately Old,0,0,0,0,0,1,0
flat,sector 107,m3m woodshire,0.8,1366.0,5856.0,,1055.0,1366.0,2,2,3+,6.0,West,Relatively New,0,0,0,1,0,2,174
flat,sector 92,signature global city 92,0.99,1091.0,9074.0,1091.0,,,3,2,3,1.0,,Under Construction,0,0,0,0,0,1,24
flat,sohna road,breez global heights,0.4,598.0,6694.0,,597.53,950.0,2,2,2,7.0,,Relatively New,0,0,0,0,0,1,57
house,sector 26,arjun marg/ sector- 26 phase- 1/ golf course road,31.5,9000.0,35000.0,9000.0,,,7,9,3+,3.0,North-East,Moderately Old,1,1,1,1,0,0,74
flat,sector 107,signature global solera,0.49,596.0,8222.0,598.0,,602.0,2,2,1,8.0,South-West,Relatively New,0,0,0,0,1,0,49
flat,sector 109,ats tourmaline,2.95,3150.0,9365.0,,,3150.0,4,5,3+,10.0,North-East,Relatively New,0,1,0,0,0,1,101
flat,sector 86,ansal heights 86,0.74,1360.0,5441.0,,,1360.0,2,2,1,11.0,,Under Construction,0,0,0,0,1,1,45
house,sector 49,independent,4.45,2880.0,15451.0,2880.0,,,6,6,3,3.0,North,Moderately Old,1,1,1,1,0,0,152
flat,sector 104,puri emerald bay,1.32,1550.0,8516.0,,,1550.0,2,2,2,10.0,North-East,Relatively New,0,0,0,0,0,1,128
flat,sector 69,unitech sunbreeze,0.74,1345.0,5500.0,,,1337.0,3,3,1,10.0,,Under Construction,0,1,0,0,0,1,60
house,sector 25,dlf city plots phase 2,4.5,1350.0,33333.0,1350.0,,,5,3,2,3.0,,Old Property,0,0,1,1,0,1,25
house,sector 109,international city by sobha phase 2,6.2,2430.0,25514.0,2430.0,,,5,5,2,2.0,South-West,Relatively New,0,1,0,0,0,1,135
flat,sector 108,experion the heartsong,1.25,1350.0,9259.0,1500.0,1350.0,1758.0,3,3,3,1.0,South-East,Relatively New,0,1,0,1,0,1,174
flat,sector 33,central park flower valley,1.55,1300.0,11923.0,,1300.0,,3,3,3+,7.0,North-East,New Property,0,0,0,0,0,2,28
flat,sector 58,ireo the grand arch,2.2,1375.0,16000.0,,1375.0,,2,2,1,5.0,East,Relatively New,0,0,0,1,0,2,49
house,sector 11,independent,4.0,2025.0,19753.0,225.0,180.0,,5,4,1,2.0,North-East,Undefined,0,0,0,0,0,1,0
flat,sector 28,maruti vihar,1.0,1100.0,9090.0,,,1100.0,1,1,1,1.0,North,Old Property,1,0,0,1,0,2,80
flat,sector 37c,corona optus,1.4,1990.0,7035.0,1890.0,1790.0,1990.0,3,3,3+,4.0,South,Relatively New,0,1,0,0,0,1,149
flat,sector 103,satya the hermitage,0.93,1452.0,6404.0,,1452.0,,2,3,3,3.0,East,Relatively New,0,1,0,0,0,2,90
flat,sector 85,ss the leaf,1.17,1741.0,6720.0,1550.0,1350.0,1741.0,2,3,3,10.0,South-East,Relatively New,0,0,0,0,1,1,49
flat,sector 109,conscient one,1.7,965.0,17617.0,965.0,628.0,,1,1,2,9.0,,Undefined,0,0,0,0,0,1,0
flat,sector 22,ambience creacions,1.65,1380.0,11956.0,1200.0,1000.0,1380.0,2,2,2,9.0,East,Relatively New,0,0,0,1,1,0,133
house,sector 28,housing board colony,2.1,900.0,23333.0,900.0,,,8,8,3+,4.0,South-East,Moderately Old,0,0,0,0,1,2,38
flat,sector 102,emaar imperial gardens,2.05,2076.0,9876.0,,2025.0,,3,4,3+,14.0,South,Relatively New,0,1,0,0,0,1,116
flat,sector 85,orris aster court,0.9,1587.0,5671.0,,,1587.0,3,3,3,8.0,North-East,Relatively New,0,0,0,0,0,1,49
flat,sector 106,paras dews,1.15,1760.0,6534.0,1186.0,1130.0,1760.0,3,4,3+,12.0,East,Relatively New,1,1,0,0,0,2,174
flat,sector 103,signature global grand iva,0.3,362.0,8290.0,,361.88231799999994,,1,2,2,5.0,,New Property,0,0,0,0,0,1,37
flat,sector 4,housing apna enclave,0.39,950.0,4105.0,950.0,750.0,,2,2,1,1.0,North-East,Undefined,0,0,0,0,0,1,0
flat,sector 102,emaar gurgaon greens,1.5,1650.0,9090.0,,1022.58,1650.0,3,3,3,7.0,West,Relatively New,0,0,0,1,0,2,174
flat,sector 71,signature andour heights,0.6,600.0,10000.0,,514.0,600.0,2,2,1,5.0,South-West,Relatively New,0,0,0,1,0,1,59
flat,sector 109,chintels paradiso,1.8,2030.0,8866.0,,1785.0,2030.0,3,3,2,0.0,East,Moderately Old,0,1,0,0,0,1,83
flat,sector 2,bestech park view residency,0.98,1414.0,6932.0,,,1415.0,2,2,3,11.0,East,Moderately Old,0,0,0,0,0,1,83
flat,sector 92,raheja navodaya,0.85,1572.0,5407.0,,,1572.0,3,3,0,0.0,East,Relatively New,0,0,0,0,0,1,88
flat,sector 92,sare green parc phase 3,1.1,1600.0,6875.0,,1600.0,,4,3,2,12.0,North,New Property,0,0,0,0,0,1,15
flat,sector 65,emaar mgf emerald floors premier,2.8,1650.0,16969.0,,1650.0,,3,3,3+,3.0,,Relatively New,1,1,0,0,0,2,38
flat,sector 104,godrej summit,1.16,1816.0,6387.0,,1816.0,,3,4,3+,8.0,East,Relatively New,0,1,0,0,0,2,96
flat,sector 79,m3m golf hills,1.45,1420.0,10211.0,,1420.0,,2,2,3,15.0,,Under Construction,0,0,0,0,0,1,67
house,sector 4,huda ashok vihar phase,0.7,684.0,10233.0,684.0,,,3,2,1,2.0,North-East,New Property,1,0,0,0,0,1,7
flat,sector 102,shapoorji pallonji joyville gurugram,2.15,1692.0,12706.0,1690.0,1592.0,1692.0,3,3,3,10.0,South-West,Relatively New,0,0,0,0,0,2,49
house,sector 25,dlf city plots phase 2,10.75,3600.0,29861.0,3600.0,,,9,9,3+,3.0,South-West,Old Property,0,1,1,1,0,1,73
flat,sector 37c,ild greens,1.0,2315.0,4320.0,,,1875.0,3,3,3+,5.0,North,Under Construction,0,0,0,0,0,1,51
flat,sector 56,guru gram haryana cghs,1.38,1910.0,7225.0,1910.0,,,3,3,3,5.0,North,Moderately Old,1,0,0,0,0,2,134
house,sector 33,unitech uniworld resorts,8.0,7000.0,11428.0,7000.0,,,4,4,3+,2.0,West,Old Property,1,1,1,1,0,1,77
house,sector 50,ss hibiscus,12.25,5850.0,20940.0,5850.0,,,5,7,3+,1.0,South-East,Relatively New,1,1,0,1,1,2,160
house,sector 9a,independent,4.5,3150.0,14286.0,14.0,,,9,9,3+,3.0,,Relatively New,1,0,0,1,1,2,38
flat,sector 78,umang monsoon breeze,1.15,2176.0,5284.0,,,2176.0,3,3,3,9.0,,Moderately Old,0,1,0,0,1,1,22
flat,sector 3,apna enclave,0.5,650.0,7692.0,,650.0,,2,2,1,1.0,West,Old Property,0,0,0,0,0,2,37
flat,sector 48,kibithu villas,3.45,2700.0,12777.0,,2700.0,,4,4,3+,2.0,,Undefined,0,0,0,0,0,1,0
flat,sector 81,bestech park view grand spa,2.29,2660.0,8609.0,,2000.0,2660.0,3,4,3+,10.0,North-East,Relatively New,1,1,0,0,0,0,174
house,sector 1,independent,4.75,4500.0,10556.0,4500.0,,,6,7,0,4.0,,Undefined,0,0,0,0,0,1,0
house,sector 72,tata primanti,8.5,6300.0,13492.0,6300.0,,,5,6,3+,10.0,East,Relatively New,1,1,1,1,0,2,145
