property_type,sector,society,price,area,price_per_sqft,built_up_area,carpet_area,super_built_up_area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,sector 77,umang winter hills,0.71,1338.0,5305.0,,810.0,1342.0,2,2,2,6.0,North-West,Relatively New,1,0,0,0,0,1,108
flat,sector 66,emaar mgf the palm drive,3.5,2125.0,16470.0,2150.0,2125.0,2200.0,3,4,3,6.0,North,Relatively New,0,1,0,0,0,1,68
flat,sector 61,smart world orchard,2.41,1630.0,14785.0,1630.0,1625.0,,3,3,3,2.0,East,New Property,0,0,0,0,0,1,61
house,sector 24,independent,4.5,1350.0,33333.0,160.0,150.0,,10,8,3+,4.0,East,Relatively New,0,1,1,0,0,2,56
flat,sector 84,antriksh heights,1.02,2095.0,4868.0,,,2095.0,4,4,3+,11.0,North,Relatively New,0,1,0,1,0,1,99
house,sector 43,ansal sushant lok plots,7.0,2700.0,25926.0,2700.0,,,5,5,3+,3.0,North-East,Relatively New,1,1,0,1,0,2,41
flat,sector 47,cghs airport apartment,1.8,3000.0,6000.0,,2700.0,3000.0,4,4,3+,4.0,North-West,Moderately Old,0,0,1,0,0,2,120
house,sector 14,independent,3.4,2250.0,15111.0,2250.0,,,3,3,3,1.0,North-West,Old Property,0,0,0,0,0,1,32
flat,sector 85,ss,2.14,2812.0,7610.0,2300.0,2000.0,2812.0,4,4,3,6.0,North,Relatively New,1,1,0,1,0,1,49
house,sector 4,independent,0.85,13492.0,630.0,13500.0,,,3,3,1,1.0,North,Relatively New,0,0,0,0,1,1,0
house,sector 2,independent,6.0,2430.0,24691.0,2430.0,,,5,6,3+,3.0,East,Old Property,1,0,0,1,1,2,43
flat,sector 102,emaar gurgaon greens,1.35,1650.0,8181.0,,1022.58,1650.0,3,3,3,5.0,North-West,Relatively New,0,1,0,0,0,1,119
flat,sector 3,shyam apartment,0.26,700.0,3714.0,,530.0,700.0,2,1,2,2.0,,Relatively New,0,0,0,0,0,1,0
flat,sector 69,tulip violet,1.78,2010.0,8855.0,,,2010.0,4,4,2,10.0,North-East,Relatively New,0,0,0,1,0,2,156
flat,sector 79,supertech araville,0.95,1530.0,6209.0,,,1530.0,2,2,3,7.0,North-East,New Property,1,0,0,0,0,1,49
flat,sector 81,bestech park view ananda,1.15,1660.0,6927.0,,1282.0,1660.0,3,2,3+,6.0,South,Relatively New,1,0,0,0,0,2,104
flat,sector 70,shree vardhman victoria,1.8,1950.0,9230.0,,,1950.0,3,3,3+,10.0,North-East,New Property,0,0,0,0,1,2,49
flat,manesar,dnha group housing society,0.75,1660.0,4518.0,,,1660.0,3,2,2,5.0,,Moderately Old,0,0,0,0,0,1,0
house,sector 26,independent,5.8,1800.0,32222.0,1800.0,,,5,5,3+,2.0,North,Old Property,1,1,1,1,0,1,53
flat,sector 56,shri banke bihari society,1.35,2000.0,6750.0,1800.0,1600.0,2000.0,3,3,3,5.0,East,Old Property,0,0,0,0,1,2,82
flat,sector 52,residency grand,5.0,5200.0,9615.0,5200.0,,,5,5,3+,2.0,East,Undefined,0,0,0,0,0,1,0
flat,sector 63a,signature global city 63a,1.55,1049.0,14783.0,,1050.0,,2,2,2,2.0,,Under Construction,0,0,0,0,0,1,0
flat,sector 81,bestech park view ananda,1.35,1790.0,7541.0,,1130.0,1790.0,3,3,3+,10.0,North-East,Moderately Old,0,0,1,0,0,2,72
flat,sector 102,adani m2k oyster grande,2.5,3198.0,7817.0,2600.0,2350.0,3198.0,4,5,3+,10.0,North-East,Relatively New,0,1,0,1,0,2,174
house,sector 43,independent,5.5,1935.0,28424.0,1935.0,,,1,1,0,1.0,South-West,Old Property,0,0,0,0,1,1,12
flat,sector 69,tulip violet,1.7,1578.0,10773.0,,,1578.0,3,3,2,0.0,South-East,Relatively New,0,0,0,1,0,1,49
house,sector 3,bhim garh kheri,1.5,1980.0,7576.0,1980.0,,,7,2,0,1.0,,Undefined,0,0,0,0,0,1,0
flat,sector 69,tulip violet,1.55,1608.0,9639.0,,,1608.0,3,3,2,2.0,East,Relatively New,0,0,0,1,0,2,86
flat,sector 104,godrej summit,0.82,832.0,9854.0,,77.31,,2,2,3,12.0,,Relatively New,1,0,0,0,0,1,120
flat,sector 10a,sanskriti apartment,1.1,1650.0,6666.0,,1650.0,,3,3,3,2.0,,Moderately Old,0,0,0,0,0,1,22
house,sector 13,ganpati heights apartment,1.25,82781.0,151.0,115.0,,,10,6,2,3.0,South-East,Old Property,0,0,0,0,1,1,7
flat,sector 63a,birla navya,2.2,1258.0,17488.0,,770.0,1258.0,2,3,3+,4.0,,Under Construction,0,0,0,0,0,1,60
flat,sector 68,supertech hues,1.0,1180.0,8474.0,,1180.0,,2,2,3,23.0,,New Property,0,0,0,0,0,1,49
flat,sector 113,la vida by tata housing,3.0,2100.0,14285.0,2460.0,2100.0,2691.0,3,3,3+,3.0,East,Relatively New,0,1,0,0,0,1,167
house,sector 56,huda sector-56 gurgaon,3.6,1449.0,24845.0,1449.0,,,5,5,3+,3.0,North-East,Moderately Old,0,0,0,0,1,1,47
house,sector 24,u block dlf phase 3 road no 21,1.6,540.0,29630.0,540.0,,,7,5,3+,4.0,,Old Property,0,0,0,0,0,1,0
house,sector 112,experion windchants,9.5,4050.0,23457.0,7450.0,,,5,5,3,2.0,,Relatively New,0,1,0,0,0,1,45
flat,sector 81,bestech park view ananda,1.45,1660.0,8734.0,,1082.0,1660.0,3,2,3+,3.0,,Relatively New,0,0,0,0,1,1,45
flat,sohna road,hcbs sports ville,0.29,730.0,3970.0,743.0,519.0,,2,2,1,4.0,,Undefined,0,0,0,0,0,1,0
flat,sector 11,global hill view,0.33,773.0,4271.0,761.0,,,2,2,0,11.0,,Undefined,0,0,0,0,0,1,0
flat,sector 51,housing board colony,0.3,72.0,41666.0,,72.0,,1,1,0,0.0,,Moderately Old,1,0,0,0,0,1,15
house,sector 43,landmark house,2.75,1080.0,25463.0,1080.0,,,3,3,1,2.0,South-East,Moderately Old,0,0,0,1,0,1,21
flat,sector 85,ss the leaf,2.1,2408.0,8720.0,,1685.0,2408.0,3,4,3+,6.0,North,Relatively New,0,1,0,0,0,1,156
flat,sector 102,emaar gurgaon greens,1.38,1023.0,13495.0,,1022.58,1650.0,3,3,3,6.0,North-East,Relatively New,0,1,0,0,0,2,128
flat,sector 37c,imperia elvedor,0.55,669.0,8221.0,669.0,,,1,1,0,5.0,,Undefined,0,0,0,0,0,1,0
house,sector 67,independent,3.0,2520.0,11904.0,,2520.0,,4,4,0,3.0,North-East,Undefined,0,0,0,0,0,1,0
flat,sector 92,sare homes,0.65,1417.0,4587.0,,1417.0,,3,3,2,3.0,,Relatively New,0,0,0,0,0,1,6
flat,sector 111,puri diplomatic greens,3.5,2950.0,11864.0,2700.0,2500.0,2950.0,4,5,3+,10.0,North-East,Relatively New,0,1,0,0,0,2,49
flat,sector 102,emaar gurgaon greens,1.54,1650.0,9333.0,,1022.58,1650.0,3,3,3,12.0,North-East,Relatively New,0,1,0,0,0,1,61
flat,sohna road,eldeco accolade,0.85,1264.0,6724.0,,730.0,1264.0,2,2,3,10.0,,New Property,0,0,0,0,0,1,72
house,sector 5,independent,3.5,2250.0,15555.0,2250.0,,,6,5,2,3.0,North-East,Old Property,1,1,0,1,1,0,155
flat,sector 68,m3m sierra 68,1.05,1230.0,8536.0,1200.0,1000.0,1230.0,2,2,2,11.0,North-East,New Property,0,0,0,0,0,2,127
flat,sector 65,m3m golfestate,5.5,3243.0,16959.0,2803.0,2388.0,3243.0,3,4,3,3.0,North-East,Relatively New,0,1,0,0,0,1,49
flat,sector 107,m3m woodshire,0.9,1534.0,5867.0,,1056.0,1534.0,2,2,3,8.0,South,Relatively New,1,0,0,0,0,2,74
flat,gwal pahari,.,7.0,6364.0,11000.0,,,6000.0,4,4,3+,6.0,South-West,Relatively New,0,1,0,0,0,1,52
flat,sector 92,bestech park view sanskruti,2.0,2400.0,8333.0,,2400.0,2475.0,4,5,3+,12.0,North,Relatively New,0,1,0,0,0,2,60
flat,sector 102,adani m2k oyster grande,4.55,4550.0,10000.0,4630.0,4550.0,4650.0,4,4,3+,11.0,North-East,Relatively New,0,0,0,0,0,2,60
flat,sector 108,sobha city,3.95,2343.0,16859.0,2343.0,2300.0,,4,5,3,25.0,,Undefined,0,0,0,0,0,1,59
flat,sector 54,shree arihant apartment,1.55,2100.0,7380.0,2000.0,1900.0,2100.0,3,3,3+,3.0,North-East,Moderately Old,0,0,0,1,1,2,125
flat,sector 113,la vida by tata housing,1.5,1276.0,11755.0,,,1276.0,2,2,2,13.0,,New Property,0,0,0,0,0,1,60
flat,sector 69,tulip lemon,0.62,482.0,12863.0,,482.0,,2,2,1,4.0,North-East,Relatively New,0,0,0,0,0,2,108
flat,sector 85,godrej air,1.35,990.0,13632.0,,92.0,,2,2,3,19.0,,Under Construction,0,0,0,0,0,1,44
flat,sector 108,sobha city,2.6,1711.0,15195.0,,,1711.0,3,3,2,8.0,East,Relatively New,0,0,0,0,0,1,99
flat,sector 54,dlf the crest,11.0,3123.0,35222.0,,,3123.0,4,6,3,7.0,,Relatively New,0,1,0,0,0,0,125
house,sector 39,independent,0.34,450.0,7555.0,450.0,,,1,1,1,1.0,,Undefined,0,0,0,0,0,1,0
flat,manesar,denso haryana housing society,0.9,2089.0,4308.0,,2089.0,,3,3,3+,5.0,East,Moderately Old,0,1,0,0,0,1,7
house,sector 9,independent,1.65,900.0,18333.0,900.0,,,2,3,0,3.0,,Undefined,0,0,0,0,0,1,0
house,sector 43,independent,2.25,3000.0,7500.0,3000.0,,,11,11,3+,5.0,West,New Property,0,0,0,0,1,0,28
flat,sector 65,m3m golfestate,4.94,3043.0,16233.0,,,3043.0,3,4,3,15.0,North-East,Moderately Old,0,1,0,0,0,1,165
flat,sector 37c,corona optus,1.44,1990.0,7236.0,,1600.0,1990.0,3,3,3+,2.0,North-West,Relatively New,1,1,0,0,1,1,49
flat,sector 77,emaar mgf palm hills,1.25,1450.0,8620.0,,1450.0,,3,4,3,1.0,West,Relatively New,0,1,0,0,0,2,104
flat,sector 81,dlf the ultima,2.7,2109.0,12802.0,,2109.0,,3,3,3,15.0,North,Relatively New,0,1,0,0,0,2,49
house,sector 3,independent,0.68,1755.0,3874.0,1755.0,,,5,3,0,1.0,,Undefined,0,0,0,0,0,1,0
house,sector 38,independent,3.5,1440.0,24306.0,,160.0,,3,3,2,1.0,East,Relatively New,0,0,0,0,0,1,0
house,sector 12,independent,0.9,675.0,13333.0,675.0,,,4,4,0,2.0,,Undefined,0,0,0,0,0,1,0
house,sector 33,unitech uniworld resorts,9.55,4950.0,19293.0,4950.0,,,6,7,3+,2.0,East,Relatively New,1,1,1,1,0,2,126
flat,sector 56,sukhshanti apartment,1.65,2355.0,7006.0,,,2355.0,3,3,3+,5.0,North,Moderately Old,1,0,0,0,0,2,134
flat,sector 68,pareena mi casa,1.15,1245.0,9236.0,,,1245.0,2,2,3,8.0,East,New Property,0,0,0,0,0,1,49
flat,sector 83,emaar palm gardens,1.38,1720.0,8023.0,1350.0,1150.0,1720.0,3,3,3,5.0,South-West,Relatively New,0,1,0,0,0,2,8
flat,sohna road,eldeco accolade,0.72,1447.0,4975.0,,849.0,1457.0,2,2,3+,12.0,East,Relatively New,1,0,0,0,0,1,152
house,sector 25,independent,10.85,2844.0,38150.0,2844.0,,,6,6,1,3.0,North-East,Relatively New,0,0,1,0,0,2,136
flat,sector 65,m3m golfestate,13.2,11000.0,12000.0,,11000.0,,4,4,3,13.0,North,Moderately Old,0,1,0,0,0,1,60
house,sector 26,independent,4.0,1350.0,29630.0,1350.0,,,4,4,3,2.0,North,Old Property,0,0,1,0,0,1,41
flat,sector 86,ansal heights 86,1.05,1895.0,5541.0,,,1895.0,3,3,3,9.0,North-East,Under Construction,0,1,0,0,0,1,0
house,sector 5,independent,3.5,2367.0,14787.0,2367.0,,,5,4,2,2.0,North,Old Property,0,0,0,1,1,1,36
flat,sohna road,signature the serenas,0.45,531.0,8474.0,,531.0,,2,2,1,10.0,,New Property,0,0,0,0,0,1,23
house,sector 48,vipul tatvam villa,8.5,3240.0,26235.0,3240.0,,,4,4,1,,,Relatively New,0,0,0,0,0,1,21
flat,sector 67,m3m merlin,2.8,2047.0,13678.0,,1880.0,2047.0,3,3,3,5.0,North-East,Moderately Old,0,1,0,0,0,0,26
flat,sector 79,godrej,2.0,2360.0,8474.0,1963.0,1629.0,2366.0,3,4,3+,9.0,East,Relatively New,0,1,0,0,0,1,108
flat,manesar,hsiidc sidco aravali,0.86,2588.0,3323.0,1900.0,1877.0,2588.0,3,3,3+,3.0,South,Moderately Old,0,1,0,0,0,1,81
flat,sector 23,ashiana apartment,0.16,780.0,2051.0,,,780.0,2,2,2,1.0,,Moderately Old,0,0,0,0,0,1,0
flat,sector 106,paras dews,1.2,1034.0,11605.0,1145.0,1034.0,1665.0,3,3,3,12.0,North-West,Relatively New,1,0,0,0,0,1,158
flat,sector 95,sidhartha ncr one phase,0.43,1364.0,3152.0,1300.0,1020.0,1364.0,2,2,2,6.0,North,Relatively New,0,0,0,0,0,1,120
flat,sector 79,godrej aria,1.3,1470.0,8843.0,,,1470.0,2,2,2,7.0,,Relatively New,1,0,0,0,0,2,116
house,sector 48,eldeco mansionz,5.15,2727.0,18885.0,302.0,300.0,,5,7,3,2.0,East,Moderately Old,0,1,0,1,0,2,145
flat,sector 106,paras dews,1.2,1760.0,6818.0,1186.0,1130.0,1760.0,3,4,3+,9.0,North-East,Relatively New,0,1,0,0,0,1,174
flat,sector 89,smart world gems,1.71,1425.0,12000.0,1423.0,,,3,2,0,3.0,,Undefined,0,0,0,0,0,1,45
flat,sector 78,umang monsoon breeze,0.75,1239.0,6053.0,1239.0,1100.0,,2,2,1,5.0,East,Undefined,0,0,0,0,0,1,0
flat,sector 83,vatika gurgaon,1.4,1950.0,7179.0,,1950.0,,4,4,3,10.0,North-East,Relatively New,0,1,0,0,0,1,35
house,sector 26,independent,4.5,1350.0,33333.0,1350.0,,,3,3,2,2.0,West,Old Property,0,0,0,1,0,2,58
flat,sector 69,tulip violet,1.3,1569.0,8283.0,,,1568.0,3,3,1,12.0,South-West,Relatively New,0,0,0,1,0,1,86
house,sector 3 phase 3 extension,independent,1.0,1500.0,6667.0,1500.0,,,1,1,0,1.0,,Undefined,0,0,0,0,0,1,0
flat,sector 2,palam vihar society,3.35,4500.0,7444.0,,4500.0,,4,4,3+,2.0,,New Property,1,0,0,0,0,1,66
flat,sector 95,ramsons kshitij,0.35,637.0,5495.0,637.0,,,2,2,0,5.0,,Undefined,0,0,0,0,0,1,0
flat,sector 37c,proxima tower,0.6,1304.0,4602.0,,,1304.0,2,2,3,5.0,,Under Construction,1,0,0,1,0,1,55
flat,sector 95,siddhartha apartment,0.72,1965.0,3664.0,1800.0,1600.0,1965.0,3,3,2,4.0,East,Relatively New,0,0,0,0,1,1,21
house,sector 25,independent,13.5,3618.0,37313.0,3618.0,,,5,6,3+,4.0,North-East,Old Property,0,0,0,0,1,2,79
flat,sector 82,mapsko royale ville,1.15,1790.0,6424.0,,,1790.0,3,4,2,15.0,North-East,Relatively New,0,1,0,1,0,2,104
flat,sector 54,shree arihant apartment,1.5,1850.0,8108.0,1700.0,1550.0,1850.0,3,3,3+,4.0,West,Moderately Old,0,0,0,1,0,2,75
flat,sector 107,m3m woodshire,1.8,2361.0,7623.0,,1384.0,2361.0,3,4,3+,2.0,,Relatively New,0,1,0,0,0,1,129
flat,sector 63,adani brahma samsara vilasa,3.0,1800.0,16666.0,,1800.0,,3,3,3,3.0,East,New Property,0,0,0,0,0,1,24
flat,sector 92,sare crescent parc,0.8,1326.0,6033.0,,1326.0,,3,2,2,3.0,North-East,Relatively New,0,0,0,0,0,1,15
flat,sector 104,puri emerald bay,2.49,2450.0,10163.0,,,2450.0,3,3,3+,14.0,South,Relatively New,0,1,0,0,0,2,129
flat,sector 69,tulip violet,1.4,1581.0,8856.0,,,1578.0,3,3,2,9.0,West,Relatively New,0,0,0,1,0,1,120
flat,sector 49,orchid petals,4.79,4119.0,11628.0,,,4115.0,5,5,3+,14.0,South,Relatively New,1,1,0,1,0,1,49
house,sector 109,international city by sobha phase 2,7.0,5400.0,12963.0,5400.0,,,5,6,2,2.0,West,Relatively New,0,1,0,0,0,1,154
flat,sector 103,indiabulls centrum park,1.2,1423.0,8432.0,,,1423.0,2,2,3,3.0,North-East,Moderately Old,0,0,0,0,0,1,26
flat,sector 79,"godrej 101, sector 79",1.25,1383.0,9038.0,1383.0,,,2,2,3,1.0,East,Undefined,0,0,0,0,0,1,0
flat,sector 56,kendriya vihar,0.65,755.0,8609.0,,755.0,,1,1,1,0.0,,Moderately Old,0,0,0,0,0,1,143
flat,sohna road,signature global park,0.54,830.0,6506.0,,830.0,,2,2,1,2.0,,Relatively New,0,0,0,0,0,1,16
house,sector 26,independent,15.0,4500.0,33333.0,4500.0,,,4,4,3,3.0,,Moderately Old,0,1,1,0,0,2,36
house,sector 38,independent,8.0,347.0,230547.0,347.0,215.0,,10,10,3+,1.0,North,Undefined,0,0,0,0,0,1,0
house,sector 11,not applicable,2.2,1800.0,12222.0,1800.0,,,4,3,2,1.0,South,Old Property,1,0,0,1,0,1,24
house,sector 2,ansals palam vihar,4.0,2400.0,16666.0,2400.0,,,4,4,3+,2.0,North-East,Moderately Old,0,1,0,0,0,1,0
flat,sector 106,paras dews,1.25,1173.0,10656.0,1305.0,1173.0,1900.0,3,4,3,14.0,East,Relatively New,1,1,0,0,0,1,167
flat,sector 90,dlf new town heights,1.55,2364.0,6556.0,,,2364.0,4,4,3+,1.0,South-East,Relatively New,0,1,0,1,0,1,81
house,sector 31,independent,3.69,1557.0,23699.0,1557.0,,,4,4,2,2.0,East,Moderately Old,1,1,0,1,0,2,75
flat,sector 67a,ireo the corridors,1.5,1350.0,11111.0,,1350.0,,2,2,2,10.0,,Relatively New,0,0,1,0,0,2,38
flat,sector 109,raheja atharva,1.6,3008.0,5319.0,3008.0,,,4,1,0,0.0,,New Property,0,0,0,0,0,1,0
flat,sector 102,shapoorji pallonji joyville gurugram,0.95,915.0,10383.0,915.0,858.0,,2,2,2,14.0,North-West,Undefined,0,0,0,0,0,1,0
flat,sector 58,ireo the grand arch,3.83,1775.0,21577.0,2000.0,1775.0,2164.0,3,4,2,10.0,North-East,Relatively New,1,1,0,0,0,2,174
house,sector 56,ansal sushant lok 2,3.4,1530.0,22222.0,1530.0,,,6,6,3+,2.0,West,Moderately Old,0,0,0,0,0,2,29
house,sector 2,independent,5.7,2518.0,22634.0,2430.0,,,9,9,3+,3.0,North-East,Moderately Old,0,0,0,1,0,2,0
house,sector 70a,bptp pedestal,0.9,1187.0,7582.0,,1187.0,,2,2,3+,3.0,North-East,New Property,0,1,0,0,1,1,153
flat,sector 92,sare crescent parc royal greens phase 1,0.65,1441.0,4512.0,,,1440.45,3,3,3,1.0,East,Moderately Old,0,0,0,0,0,1,91
flat,sector 89,smart world gems,1.2,1423.0,8432.0,1423.0,,,3,3,2,3.0,East,New Property,1,0,0,0,1,1,37
flat,sector 37d,bptp terra,1.67,2191.0,7622.0,2091.0,1991.0,2191.0,4,4,3,11.0,West,Relatively New,0,0,0,0,0,2,149
flat,sector 48,vipul world floors,4.3,3100.0,13870.0,,3100.0,,4,5,3+,4.0,East,New Property,1,1,0,1,0,1,88
flat,sector 68,pareena mi casa,1.1,1220.0,9020.0,,1225.0,1245.0,2,2,3,13.0,East,New Property,0,0,0,0,0,1,106
flat,sector 37d,bptp park generations,1.5,1520.0,9868.0,,,1520.0,3,2,3+,17.0,North-East,Relatively New,0,0,0,0,0,1,42
flat,sector 80,godrej frontier,1.6,2286.0,7000.0,,,2262.0,3,3,3,5.0,,Moderately Old,0,1,0,0,0,1,53
flat,sector 107,signature global solera 2,0.51,566667.0,9.0,,514396.0,,2,2,1,3.0,North,New Property,0,0,0,0,0,1,44
house,manesar,independent,1.1,1782.0,6172.0,1782.0,,,8,8,0,1.0,,New Property,0,0,0,0,0,1,0
flat,sector 33,godrej nature plus,1.45,926.0,15664.0,118.0,86.0,,3,2,3+,20.0,,Under Construction,1,0,0,0,0,1,144
flat,sector 92,sare crescent parc,0.65,1414.0,4596.0,,1414.0,,3,3,3,3.0,,Moderately Old,0,0,0,0,0,1,44
flat,sector 37c,ild greens,0.75,1430.0,5245.0,1430.0,,,2,2,3+,13.0,East,Undefined,0,0,0,0,0,1,51
house,sector 6,independent,0.5,360.0,13889.0,360.0,,,5,3,3,3.0,,Old Property,0,0,0,0,0,1,0
house,sector 48,independent,8.4,3240.0,25926.0,3240.0,,,4,4,3,2.0,,Old Property,0,1,0,1,0,2,15
flat,sector 90,dlf regal gardens,1.19,2162.0,5505.0,,,1726.0,3,3,2,11.0,South-East,Relatively New,0,0,0,0,1,1,88
flat,sector 33,godrej nature plus,1.4,926.0,15124.0,,86.0,145.0,3,2,3+,20.0,,New Property,0,0,0,0,0,1,70
flat,sector 99a,pareena coban residences,1.13,1997.0,5658.0,1790.0,1500.0,1997.0,3,5,3,5.0,East,Relatively New,0,1,0,0,1,1,49
flat,sector 50,elevate,6.75,3395.0,19882.0,3395.0,,,4,4,0,10.0,,Undefined,0,0,0,0,0,1,0
flat,sector 3,godrej habitat,1.1,1057.0,10410.0,,,1056.58,2,2,2,14.0,,Under Construction,0,0,0,0,0,1,60
house,sector 28,dlf city plot phase 4,13.0,65261.0,1992.0,,7250.0,,10,10,3+,1.0,,Undefined,0,0,0,0,0,1,0
flat,sector 104,hero homes,1.75,1689.0,10361.0,,,1689.0,3,3,3,2.0,,Under Construction,0,0,0,0,0,1,30
flat,gwal pahari,suncity vatsal valley,1.53,1430.0,10699.0,,1430.0,,3,3,3,2.0,North-East,New Property,0,0,0,0,0,2,117
flat,sector 102,shapoorji pallonji joyville gurugram,1.8,1692.0,10638.0,,,1692.0,3,3,3,5.0,North,Relatively New,0,0,0,0,0,1,49
flat,sector 37d,ramprastha skyz,1.25,1724.0,7250.0,1725.0,,,3,3,3+,2.0,North-East,Under Construction,0,0,0,0,0,1,8
house,sector 17,independent,0.29,891.0,3254.0,891.0,,,2,1,0,0.0,West,Old Property,0,0,0,0,0,1,0
flat,sector 90,shree vardhman flora,0.65,1350.0,4814.0,,,1350.0,2,2,3,6.0,West,Relatively New,1,0,0,0,0,1,174
flat,sector 104,ats triumph,1.75,2290.0,7641.0,,,2290.0,3,4,3+,11.0,South-East,Relatively New,0,1,0,0,0,1,110
flat,sector 88a,godrej oasis,1.4,1850.0,7567.0,,,1850.0,3,3,3+,4.0,East,Relatively New,0,0,0,0,0,2,38
flat,sector 82,vatika iris floors,0.63,1127.0,5590.0,,,1134.0,2,2,3+,2.0,East,Relatively New,1,0,0,0,0,1,110
house,sector 17a,independent,1.52,765.0,19869.0,105.0,,,2,2,1,1.0,South-East,Old Property,0,0,0,0,0,1,22
flat,sector 81,bestech park view grand spa,2.4,2660.0,9022.0,,,2660.0,3,4,3+,8.0,North,New Property,1,1,0,0,0,2,167
house,sector 45,independent,10.0,3240.0,30864.0,3240.0,,,6,6,3+,4.0,North-East,Moderately Old,1,1,1,1,0,2,70
flat,sector 103,ansal housing highland park,0.8,1361.0,5878.0,1361.0,1300.0,,2,2,2,9.0,South-East,Undefined,0,0,0,0,0,1,0
flat,sector 37c,corona optus,1.22,1765.0,6912.0,1665.0,1565.0,1765.0,3,4,3,5.0,South-East,Relatively New,0,0,0,0,0,1,149
flat,sector 70,shree vardhman victoria,1.1,1300.0,8461.0,,1300.0,,2,2,2,8.0,North-East,Relatively New,0,0,0,0,0,1,101
house,sector 57,independent,8.31,3438.0,24171.0,3438.0,,,5,6,3+,4.0,North-East,Old Property,1,1,1,1,0,1,34
flat,sector 102,conscient heritage max,1.78,1931.0,9218.0,,,1931.0,3,4,3+,5.0,East,Moderately Old,0,1,0,0,0,1,125
flat,sector 36,signature global park 4,0.82,1081.0,7585.0,,650.0,1081.0,3,2,2,2.0,,New Property,0,0,0,0,0,1,8
flat,sector 84,spaze privy at,1.2,1610.0,7453.0,,,1610.0,2,2,3,3.0,,Relatively New,1,0,0,0,0,2,133
house,sector 12,mian wali,1.7,1800.0,9444.0,1800.0,,,1,1,1,1.0,,Old Property,0,1,0,0,0,1,7
flat,sector 84,alpha corp gurgaonone,2.2,2900.0,7586.0,,2900.0,,4,4,3,10.0,South,Relatively New,0,1,0,0,0,1,21
house,sector 3,independent,0.8,981.0,8155.0,981.0,,,5,4,1,2.0,,Moderately Old,0,0,0,0,0,1,0
flat,sector 89,smart world gems,0.86,1103.0,7796.0,,1103.0,,2,3,2,4.0,North-East,New Property,1,1,0,1,0,2,72
flat,sector 95,rof ananda,0.32,549.0,5827.0,,549.174178,,2,2,1,9.0,North,Relatively New,0,0,0,1,0,2,71
house,sector 48,vipul tatvam villa,22.0,8250.0,26667.0,1000.0,,,5,6,3,3.0,,Moderately Old,0,1,0,0,0,1,54
flat,sector 69,tulip white,0.91,1326.0,6862.0,,1326.0,,3,2,2,12.0,,Moderately Old,0,0,0,0,0,1,43
flat,sector 49,vatika city,1.79,1400.0,12785.0,,1400.0,,3,3,3,9.0,,Old Property,0,1,0,0,0,1,38
flat,sector 89,nbcc heights,1.5,2125.0,7058.0,,,2125.0,3,3,3,8.0,,Relatively New,1,1,0,0,0,1,105
flat,sector 69,tulip violet,1.29,1568.0,8227.0,,,1568.0,3,3,1,12.0,North-East,Relatively New,0,0,0,1,0,2,86
house,sector 50,unitech espace,11.5,3240.0,35494.0,3240.0,,,5,6,0,1.0,North-West,Undefined,0,0,0,0,0,1,0
house,sector 25,independent,10.5,3618.0,29022.0,3618.0,,,5,5,3,3.0,East,Moderately Old,1,1,0,1,0,1,42
flat,sector 110,city shri ram apartments 1,0.22,600.0,3666.0,,,600.0,2,1,1,1.0,,Relatively New,0,0,0,0,0,1,0
house,sector 2,independent,1.0,1215.0,8230.0,1215.0,,,9,7,3+,3.0,North,Moderately Old,0,0,0,1,0,1,0
house,sector 104,independent,0.45,370.0,12162.0,,1500.0,,4,4,2,4.0,North,Moderately Old,0,0,0,0,0,2,7
flat,sector 2,palam vihar extension west zone rwa,0.2,500.0,4000.0,,500.0,,1,1,1,1.0,,Moderately Old,0,0,0,0,1,1,0
flat,sector 81,vipul lavanya,1.0,1250.0,8000.0,,,1250.0,2,2,2,7.0,,Relatively New,0,0,0,0,0,1,31
flat,sector 77,emaar palm heights,1.75,1500.0,11666.0,1900.0,1500.0,2025.0,3,3,3+,11.0,South-West,Relatively New,0,1,0,0,0,1,94
flat,sector 95,ramson kshitij sec-95 gurugram,0.27,1000.0,2700.0,,550.0,1000.0,2,2,0,1.0,West,Undefined,0,0,0,0,0,1,0
flat,sector 89,m3m soulitude,1.33,783.0,16985.0,1423.0,783.0,,3,3,3,4.0,North-West,Under Construction,1,0,0,0,0,1,125
flat,sector 86,dlf the skycourt,1.5,1540.0,9740.0,1780.0,1540.0,1929.0,3,3,3+,18.0,West,Relatively New,1,0,0,0,0,1,174
flat,sector 72,tata primanti,4.25,3250.0,13076.0,,,3250.0,4,4,3+,0.0,North,Relatively New,0,1,0,0,0,2,174
flat,sector 50,the penthouses at the hibiscus,8.0,9001.0,8888.0,,9000.0,,4,3,3,7.0,South-East,Moderately Old,0,1,0,0,0,1,35
house,sector 26,dlf city plots,17.0,4518.0,37627.0,4518.0,,,5,6,3,2.0,North-West,Old Property,0,1,1,1,0,2,87
flat,sohna road,g l s arawali homes,0.26,576.0,4513.0,,,576.0,2,2,2,1.0,,Moderately Old,0,0,0,0,0,1,0
flat,sector 113,la vida by tata housing,1.75,1668.0,10489.0,,,1573.0,2,2,3,10.0,East,Relatively New,1,0,0,0,0,1,93
